"Country","Year","Nicotine replacement therapy - legally sold","Nicotine replacement therapy - place available","Nicotine replacement therapy - cost covered","Nicotine replacement therapy on the Essential Medicines List","Bupropion - legally sold","Bupropion - place available","Bupropion - cost covered","Varenicline - legally sold","Varenicline - place available","Varenicline - cost covered"
"Angola","2012","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Angola","2010","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Angola","2007","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Antigua and Barbuda","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Antigua and Barbuda","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Antigua and Barbuda","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Antigua and Barbuda","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Argentina","2014","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Argentina","2012","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Argentina","2010","Yes","In a pharmacy without a prescription","No","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Argentina","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Armenia","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Armenia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy with a prescription","No"
"Armenia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Armenia","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Australia","2014","Yes","In a general store without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Australia","2012","Yes","In a general store without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Australia","2010","Yes","In a general store without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Australia","2007","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Austria","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Austria","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Austria","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Austria","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Azerbaijan","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Azerbaijan","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Azerbaijan","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Azerbaijan","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bahamas","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Bahamas","2012","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Bahamas","2010","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Bahamas","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Bahrain","2014","Yes","In a pharmacy without a prescription","Partially","Yes","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Bahrain","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Bahrain","2010","Yes","In a pharmacy without a prescription","Fully","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Bahrain","2007","Yes","In a pharmacy without a prescription","Fully","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Bangladesh","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bangladesh","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bangladesh","2010","No","Not applicable","Not applicable","Not applicable","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bangladesh","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Barbados","2014","Yes","In a pharmacy without a prescription","No","Yes","Yes","Not available","No","Yes","Not available","No"
"Barbados","2012","Yes","In a pharmacy without a prescription","No","Yes","Yes","Not available","No","Yes","Not available","No"
"Barbados","2010","Yes","In a pharmacy without a prescription","No","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Barbados","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Belarus","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Belarus","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Belarus","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Belarus","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Belgium","2014","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Belgium","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Belgium","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Belgium","2007","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Belize","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Belize","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Belize","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Belize","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Benin","2014","Yes","In a pharmacy without a prescription","Partially","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Benin","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Benin","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Benin","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bhutan","2014","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bhutan","2012","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bhutan","2010","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bhutan","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bolivia (Plurinational State of)","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Bolivia (Plurinational State of)","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Bolivia (Plurinational State of)","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Bolivia (Plurinational State of)","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","Not available"
"Bosnia and Herzegovina","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Bosnia and Herzegovina","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Bosnia and Herzegovina","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Bosnia and Herzegovina","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Botswana","2014","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Botswana","2012","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Botswana","2010","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Botswana","2007","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Brazil","2014","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","Fully","Yes","In a pharmacy with a prescription","No"
"Brazil","2012","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","Fully","Yes","In a pharmacy with a prescription","No"
"Brazil","2010","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","In a pharmacy with a prescription","Fully","Yes","In a pharmacy with a prescription","No"
"Brazil","2007","Yes","In a pharmacy without a prescription","Fully","Not available","Yes","In a pharmacy with a prescription","Fully","Yes","In a pharmacy with a prescription","No"
"Brunei Darussalam","2014","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Fully"
"Brunei Darussalam","2012","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Brunei Darussalam","2010","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Brunei Darussalam","2007","Yes","In a pharmacy without a prescription","Fully","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Bulgaria","2014","Yes","In a pharmacy without a prescription","No","Yes","Yes","Not available","No","Yes","In a pharmacy with a prescription","No"
"Bulgaria","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Bulgaria","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","No"
"Bulgaria","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burkina Faso","2014","Yes","In a pharmacy with a prescription","Fully","No","Yes","In a pharmacy with a prescription","Fully","No","Not applicable","Not applicable"
"Burkina Faso","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burkina Faso","2010","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burkina Faso","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burundi","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burundi","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burundi","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Burundi","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cabo Verde","2014","Yes","In a pharmacy with a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cabo Verde","2012","Yes","In a pharmacy with a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cabo Verde","2010","Yes","In a pharmacy with a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cabo Verde","2007","Yes","In a pharmacy with a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cambodia","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Cambodia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Cambodia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Cambodia","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cameroon","2014","Yes","In a pharmacy without a prescription","Fully","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cameroon","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy with a prescription","No"
"Cameroon","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","Not available","Yes","In a pharmacy without a prescription","Not available"
"Cameroon","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","Not available","Yes","In a pharmacy without a prescription","Not available"
"Canada","2014","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Canada","2012","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Canada","2010","Yes","In a pharmacy without a prescription","Partially","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Canada","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Central African Republic","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Central African Republic","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Central African Republic","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Central African Republic","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Chad","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Chad","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Chad","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Chad","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Chile","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Chile","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Chile","2010","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Chile","2007","Yes","In a pharmacy with a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"China","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy with a prescription","No"
"China","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"China","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"China","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Colombia","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Colombia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Colombia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Colombia","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Comoros","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Comoros","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Comoros","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Comoros","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Congo","2014","Yes","In a pharmacy without a prescription","Fully","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy without a prescription","Partially"
"Congo","2012","Yes","In a pharmacy without a prescription","Fully","No","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy without a prescription","Partially"
"Congo","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Congo","2007","Yes","In a pharmacy without a prescription","No","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cook Islands","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cook Islands","2012","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cook Islands","2010","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cook Islands","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Costa Rica","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy with a prescription","No"
"Costa Rica","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy with a prescription","Fully"
"Costa Rica","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Costa Rica","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Côte d'Ivoire","2014","Yes","In a pharmacy without a prescription","Partially","No","No","Not applicable","Not applicable","Yes","Not available","Partially"
"Côte d'Ivoire","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Côte d'Ivoire","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Côte d'Ivoire","2007","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","No","Not applicable","Not applicable"
"Croatia","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy without a prescription","No"
"Croatia","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy without a prescription","No"
"Croatia","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Croatia","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Cuba","2014","No","Not applicable","Not applicable","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cuba","2012","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cuba","2010","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cuba","2007","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cyprus","2014","Yes","In a pharmacy without a prescription","Fully","Yes","Yes","Not available","Fully","Yes","In a pharmacy with a prescription","Fully"
"Cyprus","2012","Yes","In a pharmacy without a prescription","Fully","Yes","No","Not applicable","Not applicable","Yes","In a pharmacy with a prescription","Fully"
"Cyprus","2010","Yes","In a pharmacy without a prescription","Partially","Yes","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Cyprus","2007","Yes","In a pharmacy without a prescription","Partially","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Czechia","2014","Yes","In a pharmacy without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Czechia","2012","Yes","In a pharmacy without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Czechia","2010","Yes","In a pharmacy without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Czechia","2007","Yes","In a pharmacy without a prescription","No","Not applicable","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Democratic People's Republic of Korea","2014","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Democratic People's Republic of Korea","2012","No","Not applicable","Not applicable","Not available","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Democratic People's Republic of Korea","2010","No","Not applicable","Not applicable","Not available","No","Not available","Not available","No","Not available","Not available"
"Democratic People's Republic of Korea","2007","No","Not applicable","Not applicable","Not available","No","Not available","Not available","No","Not available","Not available"
"Democratic Republic of the Congo","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Democratic Republic of the Congo","2012","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","Yes","In a pharmacy without a prescription","No"
"Democratic Republic of the Congo","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Democratic Republic of the Congo","2007","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy without a prescription","No","Yes","In a pharmacy without a prescription","No"
"Denmark","2014","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","Partially","Yes","In a pharmacy with a prescription","Partially"
"Denmark","2012","Yes","In a pharmacy without a prescription","Partially","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Denmark","2010","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Denmark","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Djibouti","2014","Yes","In a pharmacy without a prescription","No","No","No","Not applicable","Not applicable","No","Not applicable","Not applicable"
"Djibouti","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Djibouti","2010","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Djibouti","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominica","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominica","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominica","2010","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominica","2007","Yes","In a pharmacy without a prescription","No","Not available","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominican Republic","2014","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominican Republic","2012","Yes","In a pharmacy without a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
"Dominican Republic","2010","Yes","In a pharmacy with a prescription","No","No","Yes","In a pharmacy with a prescription","No","Yes","In a pharmacy with a prescription","No"
