"Country","Year","The sale of all smokeless tobacco products is completely banned","Law mandates that health warnings appear on smokeless tobacco packages","Percentage of principal display area mandated to be covered by health warnings - front and back of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - front of smokeless tobacco packaging","Percentage of principal display area mandated to be covered by health warnings - back of smokeless tobacco packaging","Does the law mandate specific health warnings on smokeless tobacco packaging?","How many health warnings are approved by the law for smokeless tobacco packaging?","Do health warnings appear on each smokeless tobacco package and any outside packaging and labelling used in the retail sale?","Do health warnings on smokeless tobacco packaging describe the harmful effects of tobacco use on health?","Does the law mandate font style, font size and colour of health warnings on smokeless tobacco packaging?","Are the health warnings on smokeless tobacco packaging rotating?","Are the health warnings on smokeless tobacco packaging written in the principal language(s) of the country?","Do the health warnings on smokeless tobacco packaging include a photograph or graphic?"
"Algeria","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","Yes","No"
"Andorra","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Andorra","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Andorra","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Andorra","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Angola","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Angola","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Angola","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Angola","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Antigua and Barbuda","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Antigua and Barbuda","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Antigua and Barbuda","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Antigua and Barbuda","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Argentina","2014","No","Yes","50","50","50","Yes","10","Yes","Yes","Yes","Yes","Yes","Yes"
"Argentina","2012","No","Yes","50","50","50","Yes","10","Yes","Yes","Yes","Yes","Yes","Yes"
"Argentina","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Argentina","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Armenia","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Armenia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Armenia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Armenia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Australia","2014","No","Yes","25","25","25","Yes","2","Yes","Yes","Yes","Yes","Yes","No"
"Australia","2012","No","Yes","25","25","25","Yes","2","Yes","Yes","Yes","Yes","Yes","No"
"Australia","2010","No","Yes","12.5","25","0","Yes","2","Yes","Yes","Yes","Yes","Yes","No"
"Australia","2007","No","Yes","12.5","25","0","Yes","2","Yes","Yes","Yes","Yes","Yes","No"
"Austria","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Austria","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Austria","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Austria","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Azerbaijan","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Azerbaijan","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Azerbaijan","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Azerbaijan","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahamas","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahamas","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahamas","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahamas","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bahrain","2014","Yes","Sale of smokeless tobacco is banned in the country","50","50","50","No","2","No","No","Yes","No","Yes","Yes"
"Bahrain","2012","Yes","Sale of smokeless tobacco is banned in the country","50","50","50","No","2","No","No","Yes","No","Yes","Yes"
"Bahrain","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","Not applicable","Yes","No","No","No","Yes","No"
"Bahrain","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bangladesh","2014","No","Yes","50","50","50","Yes","2","Yes","Yes","Yes","Yes","Yes","Yes"
"Bangladesh","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bangladesh","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bangladesh","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Barbados","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Barbados","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Barbados","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Barbados","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belarus","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belarus","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belarus","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belarus","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belgium","2014","No","Yes","17","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Belgium","2012","No","Yes","17","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Belgium","2010","No","Yes","17","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Belgium","2007","No","Yes","17","35","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Belize","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belize","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belize","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Belize","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Benin","2014","No","Yes","30","30","30","Yes","1","Yes","No","No","No","No","No"
"Benin","2012","No","Yes","30","30","30","Yes","1","Yes","No","No","No","No","No"
"Benin","2010","No","Yes","30","30","30","Yes","1","Yes","No","No","No","No","No"
"Benin","2007","No","Yes","30","30","30","Yes","1","Yes","No","No","No","No","No"
"Bhutan","2014","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Bhutan","2012","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Bhutan","2010","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Bhutan","2007","Yes","Sale of smokeless tobacco is banned in the country","Not specified","Not specified","Not specified","No","No","No","No","No","No","No","No"
"Bolivia (Plurinational State of)","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bolivia (Plurinational State of)","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bolivia (Plurinational State of)","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bolivia (Plurinational State of)","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bosnia and Herzegovina","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bosnia and Herzegovina","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bosnia and Herzegovina","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Bosnia and Herzegovina","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Botswana","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Botswana","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Botswana","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Botswana","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Brazil","2014","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Brazil","2012","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Brazil","2010","No","Yes","Not specified","Not specified","Not specified","No","10","No","No","No","No","No","No"
"Brazil","2007","No","Yes","Not specified","Not specified","Not specified","No","10","No","No","No","No","No","No"
"Brunei Darussalam","2014","No","Yes","75","75","75","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Brunei Darussalam","2012","No","Yes","75","75","75","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Brunei Darussalam","2010","No","Yes","50","50","50","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Brunei Darussalam","2007","No","Yes","50","50","50","Yes","3","Yes","Yes","Yes","Yes","Yes","No"
"Bulgaria","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","No","No"
"Bulgaria","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","No","No"
"Bulgaria","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","No","No"
"Bulgaria","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","No","No","No","No"
"Burkina Faso","2014","No","Yes","60","60","60","Yes","1","Yes","No","No","Yes","Yes","No"
"Burkina Faso","2012","No","Yes","60","60","60","Yes","1","Yes","No","No","Yes","Yes","No"
"Burkina Faso","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Burkina Faso","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Burundi","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Burundi","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Burundi","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Burundi","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cabo Verde","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cabo Verde","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cabo Verde","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cabo Verde","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cambodia","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cambodia","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cambodia","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cambodia","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cameroon","2014","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Cameroon","2012","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Cameroon","2010","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Cameroon","2007","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Canada","2014","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","No","Yes","No"
"Canada","2012","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","No","Yes","No"
"Canada","2010","No","Yes","50","50","50","Yes","4","Yes","Yes","Yes","No","Yes","No"
"Canada","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Central African Republic","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Central African Republic","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Central African Republic","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Central African Republic","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","No","No"
"Chad","2014","No","Yes","50","50","50","Yes","1","Yes","No","No","No","Yes","No"
"Chad","2012","No","Yes","50","50","50","Yes","1","Yes","No","No","No","Yes","No"
"Chad","2010","No","Yes","50","50","50","Yes","1","Yes","No","No","No","Yes","No"
"Chad","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Chile","2014","No","Yes","50","50","50","Yes","5","Yes","Yes","Yes","Yes","Yes","Yes"
"Chile","2012","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","Yes","Yes","Yes"
"Chile","2010","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","Yes","Yes","Yes"
"Chile","2007","No","Yes","50","50","50","Yes","1","Yes","Yes","Yes","Yes","Yes","Yes"
"China","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"China","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"China","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"China","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Colombia","2014","No","Yes","30","30","30","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia","2012","No","Yes","30","30","30","Yes","6","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia","2010","No","Yes","30","30","30","Yes","3","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia","2007","No","Yes","5","10","0","Yes","1","Yes","No","No","No","Yes","No"
"Comoros","2014","No","Yes","40","40","40","Yes","1","Yes","No","Yes","No","Yes","No"
"Comoros","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","No","No","No","Yes","No"
"Comoros","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Comoros","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Congo","2014","No","Yes","Not specified","Not specified","Not specified","No","0","Yes","No","No","No","Yes","Yes"
"Congo","2012","No","Yes","Not specified","Not specified","Not specified","No","0","Yes","No","No","No","Yes","Yes"
"Congo","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Congo","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cook Islands","2014","No","Yes","50","50","50","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Cook Islands","2012","No","Yes","50","50","50","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Cook Islands","2010","No","Yes","50","50","50","Yes","6","Yes","Yes","Yes","Yes","Yes","No"
"Cook Islands","2007","No","Yes","30","Not specified","Not specified","No","0","Yes","No","No","Yes","No","No"
"Costa Rica","2014","No","Yes","50","50","50","Yes","12","Yes","Yes","Yes","Yes","Yes","Yes"
"Costa Rica","2012","No","Yes","50","50","50","No","0","Yes","No","Yes","Yes","Yes","Yes"
"Costa Rica","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Costa Rica","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Côte d'Ivoire","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Côte d'Ivoire","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Côte d'Ivoire","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Côte d'Ivoire","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","No","No","No","No","Yes","No"
"Croatia","2014","No","Yes","15","30","0","Yes","1","No","Yes","Yes","No","Yes","No"
"Croatia","2012","No","Yes","15","30","0","Yes","1","No","Yes","Yes","No","Yes","No"
"Croatia","2010","No","Yes","15","30","0","Yes","1","No","Yes","Yes","No","Yes","No"
"Croatia","2007","No","Yes","Not specified","Not specified","Not specified","Yes","5","No","Yes","No","Yes","Yes","No"
"Cuba","2014","No","Yes","30","Not available","Not available","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Cuba","2012","No","Yes","30","Not available","Not available","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Cuba","2010","No","Yes","30","Not available","Not available","Yes","1","Yes","Yes","No","Yes","Yes","No"
"Cuba","2007","No","Yes","30","Not available","Not available","Yes","1","Yes","Yes","No","No","Yes","No"
"Cyprus","2014","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"Cyprus","2012","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"Cyprus","2010","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"Cyprus","2007","No","Yes","Not specified","Not specified","Not specified","Yes","1","Yes","Yes","Yes","Yes","Yes","No"
"Czechia","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Czechia","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Czechia","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Czechia","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Democratic People's Republic of Korea","2014","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Democratic People's Republic of Korea","2012","No","Yes","Not specified","Not specified","Not specified","No","0","No","No","No","No","No","No"
"Democratic People's Republic of Korea","2010","No","Yes","Not specified","Not specified","Not specified","No","1","No","No","No","No","No","No"
"Democratic People's Republic of Korea","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Democratic Republic of the Congo","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Democratic Republic of the Congo","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Democratic Republic of the Congo","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Democratic Republic of the Congo","2007","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Denmark","2014","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","Yes"
"Denmark","2012","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","Yes"
"Denmark","2010","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Denmark","2007","No","Yes","15","30","0","Yes","1","Yes","Yes","Yes","No","Yes","No"
"Djibouti","2014","No","Yes","50","50","50","No","0","Yes","Yes","Yes","Yes","Yes","No"
"Djibouti","2012","No","Yes","50","50","50","No","0","Yes","Yes","Yes","Yes","Yes","No"
"Djibouti","2010","No","Yes","50","50","50","No","0","Yes","Yes","Yes","Yes","Yes","No"
"Djibouti","2007","No","Yes","50","50","50","No","0","Yes","No","No","Yes","Yes","No"
"Dominica","2014","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Dominica","2012","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Dominica","2010","No","No","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
