"Country","At least one national mass media campaign ran during the survey period","Campaign was part of a comprehensive tobacco control programme","Campaign was pre-tested","Formative research was conducted","Campaign aired on television and/or radio","Campaign utilized media planning","Earned media/public relations were used to promote the campaign","Process evaluation was employed to assess implementation","Outcome evaluation was employed to assess effectiveness"
"Botswana","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Brazil","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Brunei Darussalam","Yes","Yes","Not available","Yes","No","Yes","No","Yes","Yes"
"Bulgaria","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Burkina Faso","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Burundi","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cabo Verde","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cambodia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cameroon","Yes","Yes","Not available","Yes","Yes","Yes","Yes","Yes","Yes"
"Canada","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Central African Republic","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"Chad","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Chile","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"China","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Colombia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Comoros","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Congo","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cook Islands","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Costa Rica","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Côte d'Ivoire","Yes","Yes","No","Yes","No","Yes","Yes","Yes","Yes"
"Croatia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Cuba","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Cyprus","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Czechia","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"Democratic People's Republic of Korea","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Democratic Republic of the Congo","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Denmark","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Djibouti","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Dominica","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Dominican Republic","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ecuador","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Egypt","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"El Salvador","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Equatorial Guinea","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Eritrea","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Estonia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Eswatini","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ethiopia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Fiji","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes"
"Finland","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"France","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Gabon","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Gambia","Yes","Yes","Not available","Yes","Yes","Yes","Yes","Yes","No"
"Georgia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Germany","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Ghana","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Greece","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Grenada","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guatemala","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guinea","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guinea-Bissau","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Guyana","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Haiti","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Honduras","Yes","Yes","No","Not available","No","No","Yes","Not available","Yes"
"Hungary","Yes","No","No","Yes","No","Yes","Yes","Yes","No"
"Iceland","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"India","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Indonesia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Iran (Islamic Republic of)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not available"
"Iraq","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Ireland","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Israel","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Italy","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes"
"Jamaica","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No"
"Japan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Jordan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kazakhstan","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Kiribati","Yes","Yes","Yes","No","Yes","Yes","Yes","Not available","Not available"
"Kuwait","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No"
"Kyrgyzstan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lao People's Democratic Republic","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No"
"Latvia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Lebanon","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lesotho","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Liberia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Libya","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Lithuania","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Luxembourg","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Madagascar","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malawi","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malaysia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Maldives","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Mali","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Malta","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Marshall Islands","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Mauritania","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Mauritius","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Mexico","Yes","No","No","No","Yes","Yes","Yes","Yes","Yes"
"Micronesia (Federated States of)","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Monaco","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Mongolia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Montenegro","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Morocco","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Mozambique","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Myanmar","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Namibia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Nauru","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Nepal","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Netherlands","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"New Zealand","Yes","Yes","Not available","Not available","Yes","Yes","Not available","Yes","Yes"
"Nicaragua","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Niger","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Nigeria","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Niue","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Norway","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Oman","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Pakistan","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No"
"Palau","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Panama","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Papua New Guinea","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Paraguay","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Peru","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Philippines","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Poland","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Portugal","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Qatar","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Republic of Korea","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"Republic of Moldova","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Romania","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Russian Federation","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Rwanda","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Saint Kitts and Nevis","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Saint Lucia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Saint Vincent and the Grenadines","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Samoa","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"San Marino","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sao Tome and Principe","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Saudi Arabia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Senegal","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Serbia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Seychelles","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sierra Leone","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Singapore","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Slovakia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Slovenia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Solomon Islands","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No"
"Somalia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"South Africa","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"South Sudan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Spain","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sri Lanka","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Sudan","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No"
"Suriname","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Sweden","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Switzerland","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Syrian Arab Republic","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tajikistan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Thailand","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Republic of North Macedonia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Timor-Leste","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Togo","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Tonga","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Trinidad and Tobago","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Tunisia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Turkey","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Turkmenistan","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Not available","Yes"
"Tuvalu","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Uganda","Yes","Yes","No","No","Yes","Yes","Yes","No","No"
"Ukraine","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"United Arab Emirates","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No"
"United Kingdom of Great Britain and Northern Ireland","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"United Republic of Tanzania","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"United States of America","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Uruguay","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No"
"Uzbekistan","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Vanuatu","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Venezuela (Bolivarian Republic of)","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Viet Nam","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Yemen","Yes","No","No","Yes","Yes","No","Yes","Yes","No"
"Zambia","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
"Zimbabwe","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable","Not applicable"
