,"Name of survey of adults - smokeless","Representativeness of survey of adults - smokeless","Adult survey age range - smokeless","Adult smokeless tobacco use indicator definition","Adult smokeless tobacco use indicator rate","Adult smokeless tobacco use indicator rate","Adult smokeless tobacco use indicator rate"
"Guatemala","","","","Not available","Not available","Not available","Not available"
"Guinea","","","","Not available","Not available","Not available","Not available"
"Guinea-Bissau","","","","Not available","Not available","Not available","Not available"
"Guyana","","","","Not available","Not available","Not available","Not available"
"Haiti","","","","Not available","Not available","Not available","Not available"
"Honduras","","","","Not available","Not available","Not available","Not available"
"Hungary","","","","Not available","Not available","Not available","Not available"
"Iceland","Landlknisembtti: Tbaksknnun (Capacent-Gallup phone survey, March-April)","National","18+","Current smokeless tobacco use","4.0","7.3",""
"India","Global Adult Tobacco Survey (GATS) - India","National","15+","Current smokeless tobacco use","25.9","32.9","18.4"
"Indonesia","Basic Health Research (RISKESDAS)","National","10+","Current smokeless tobacco use","","3.7","4.5"
"Iran (Islamic Republic of)","","","","Not available","Not available","Not available","Not available"
"Iraq","Non-Communicable Diseases Risk Factors Survey","National","25-65","Current smokeless tobacco use","0.9","1.6","0.3"
"Ireland","","","","Not available","Not available","Not available","Not available"
"Israel","","","","Not available","Not available","Not available","Not available"
"Italy","","","","Not available","Not available","Not available","Not available"
"Jamaica","","","","Not available","Not available","Not available","Not available"
"Japan","","","","Not available","Not available","Not available","Not available"
"Jordan","","","","Not available","Not available","Not available","Not available"
"Kazakhstan","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","1.3","2.8","0.0"
"Kenya","Kenya GATS","National","15+","Current smokeless tobacco use","4.5","5.3","3.8"
"Kiribati","","","","Not available","Not available","Not available","Not available"
"Kuwait","","","","Not available","Not available","Not available","Not available"
"Kyrgyzstan","Kyrgyz Demographic and Health Survey","National","15-49","Current smokeless tobacco use","","10.5","0.2"
"Lao People's Democratic Republic","National Adult Tobacco Survey","National","15+","Current smokeless tobacco use","4.6","1.1","8.0"
"Latvia","","","","Not available","Not available","Not available","Not available"
"Lebanon","","","","Not available","Not available","Not available","Not available"
"Lesotho","Lesotho STEPS","National","25-64","Current smokeless tobacco use","10.5","3.8","17.1"
"Liberia","Liberia Demographic and Health Survey","National","15-49","Current smokeless tobacco use","","4.0",""
"Libya","Libya STEPS Survey","National","25-64","Current smokeless tobacco use","1.2","2.2","0.1"
"Lithuania","","","","Not available","Not available","Not available","Not available"
"Luxembourg","","","","Not available","Not available","Not available","Not available"
"Madagascar","Madagascar Demographic and Health Survey","National","15-59","Current smokeless tobacco use","","24.6","9.6"
"Malawi","Malawi National STEPS Survey for Chronic Non-Communicable Diseases and their Risk Factors","National","25-64","Current smokeless tobacco use","3.5","1.9","5.0"
"Malaysia","Global Adult Tobacco Survey (GATS)","National","15+","Current smokeless tobacco use","0.7","0.9","0.6"
"Maldives"," STEPS Survey of NCD Risk Factors","Subnational","15-64","Current smokeless tobacco use","3.7","3.9","1.4"
"Mali","","","","Not available","Not available","Not available","Not available"
"Malta","","","","Not available","Not available","Not available","Not available"
"Marshall Islands","","","","Not available","Not available","Not available","Not available"
"Mauritania","Enquete sur les Maladies non Transmissibles selon l'approche STEPwise de l'OMS","National","15-64","Current smokeless tobacco use","9.0","5.7","28.3"
"Mauritius","","","","Not available","Not available","Not available","Not available"
"Mexico","Global Adult Tobacco Survey (GATS) - Mexico","National","15+","Current smokeless tobacco use","0.3","0.3","0.3"
"Micronesia (Federated States of)","","","","Not available","Not available","Not available","Not available"
"Monaco","","","","Not available","Not available","Not available","Not available"
"Mongolia","Mongolia STEPS survey on the Prevalence of NCD risk factors","National","15-64","Current smokeless tobacco use","0.5","0.8","0.2"
"Montenegro","","","","Not available","Not available","Not available","Not available"
"Morocco","","","","Not available","Not available","Not available","Not available"
"Mozambique","","","","Not available","Not available","Not available","Not available"
"Myanmar","WHO STEPS Chronic Disease Risk Factor Surveillance - Myanmar","National","15-64","Current smokeless tobacco use","29.7","51.4","16.1"
"Namibia","","","","Not available","Not available","Not available","Not available"
"Nauru","","","","Not available","Not available","Not available","Not available"
"Nepal","NCD Risk Factors STEPS Survey Nepal","National","15-69","Current smokeless tobacco use","17.8","31.1","4.8"
"Netherlands","The Dutch Continuous Survey of Smoking Habits","National","15+","Current smokeless tobacco use","0.2","0.3","0.1"
"New Zealand","","","","Not available","Not available","Not available","Not available"
"Nicaragua","","","","Not available","Not available","Not available","Not available"
"Niger","Enquete Demographique et de Sante et Indicateurs Multiples au Niger","National","15-59","Current smokeless tobacco use","","","2.3"
"Nigeria","Global Adult Tobacco Survey, Nigeria","National","15+","Current smokeless tobacco use","1.9","2.9","0.9"
"Niue","","","","Not available","Not available","Not available","Not available"
"Norway","Statistics Norway Smoking Habits Survey (Reise- og ferieunders�kelse)","National","16-74","Current smokeless tobacco use","14.0","21.0","7.0"
"Oman","","","","Not available","Not available","Not available","Not available"
"Pakistan","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","7.7","11.4","3.7"
"Palau","STEPS Survey","National","25-64","Current smokeless tobacco use","63.0","60.4","65.9"
"Panama","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","0.8","1.0","0.5"
"Papua New Guinea","","","","Not available","Not available","Not available","Not available"
"Paraguay","Encuesta Nacional de Factores de Riesgo de Paraguay (STEPS)","National","15-74","Current smokeless tobacco use","2.3","3.0","1.6"
"Peru","","","","Not available","Not available","Not available","Not available"
"Philippines","Global Adult Tobacco Survey (GATS) - Philippines","National","15+","Current smokeless tobacco use","2.0","2.8","1.2"
"Poland","Global Adult Tobacco Survey (GATS) - Poland","National","15+","Current smokeless tobacco use","0.5","1.0","0.1"
"Portugal","","","","Not available","Not available","Not available","Not available"
"Qatar","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","0.7","1.3","0.0"
"Republic of Korea","","","","Not available","Not available","Not available","Not available"
"Republic of Moldova","","","","Not available","Not available","Not available","Not available"
"Romania","","","","Not available","Not available","Not available","Not available"
"Russian Federation","Global Adult Tobacco Survey (GATS) - Russia","National","15+","Current smokeless tobacco use","0.6","1.0","0.2"
"Rwanda","","","","Not available","Not available","Not available","Not available"
"Saint Kitts and Nevis","St Kitts STEPS Survey","National","25-64","Current smokeless tobacco use","0.2","0.3","0.1"
"Saint Lucia","","","","Not available","Not available","Not available","Not available"
"Saint Vincent and the Grenadines","","","","Not available","Not available","Not available","Not available"
"Samoa","","","","Not available","Not available","Not available","Not available"
"San Marino","","","","Not available","Not available","Not available","Not available"
"Sao Tome and Principe","Sao Tome et Principe Enquete STEPS","National","25-64","Current smokeless tobacco use","2.8","3.8","1.9"
"Saudi Arabia","WHO STEPwise approach to NCD Surveillance - Saudi Arabia","National","15-64","Daily smokeless tobacco use","","1.3","0.5"
"Senegal","","","","Not available","Not available","Not available","Not available"
"Serbia","","","","Not available","Not available","Not available","Not available"
"Seychelles","The Seychelles Heart Study IV","National","25-64","Current smokeless tobacco use","0.3","0.3","0.4"
"Sierra Leone","The Prevalence of the Common Risk Factors of Non-Communicable Diseases in Sierra Leone","National","25-64","Current smokeless tobacco use","7.8","2.9","12.1"
"Singapore","","","","Not available","Not available","Not available","Not available"
"Slovakia","","","","Not available","Not available","Not available","Not available"
"Slovenia","","","","Not available","Not available","Not available","Not available"
"Solomon Islands","","","","Not available","Not available","Not available","Not available"
"Somalia","","","","Not available","Not available","Not available","Not available"
"South Africa","South African Social Attitude Survey","National","16+","Current smokeless tobacco use","6.5","1.4","8.4"
"South Sudan","","","","Not available","Not available","Not available","Not available"
"Spain","","","","Not available","Not available","Not available","Not available"
"Sri Lanka","Sri Lanka STEPS Survey","National","15-64","Current smokeless tobacco use","15.8","24.9","6.9"
"Sudan","","","","Not available","Not available","Not available","Not available"
"Suriname","","","","Not available","Not available","Not available","Not available"
"Sweden","(National Survey on Public Health)","National","16-84","Current smokeless tobacco use","15.0","23.0","7.0"
"Switzerland","Addiction Monitoring survey","National","15+","Current smokeless tobacco use","2.7","4.2","1.2"
"Syrian Arab Republic","","","","Not available","Not available","Not available","Not available"
"Tajikistan","","","","Not available","Not available","Not available","Not available"
"Thailand","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","3.2","1.1","5.2"
"Republic of North Macedonia","","","","Not available","Not available","Not available","Not available"
"Timor-Leste","Timor-Leste Demographic and Health Survey","National","15-49","Current smokeless tobacco use","","2.5","1.9"
"Togo","Enquete STEPS au Togo sur les facteurs de risque des maladies non transmissibles","National","15-64","Current smokeless tobacco use","3.6","5.1","2.2"
"Tonga","","","","Not available","Not available","Not available","Not available"
"Trinidad and Tobago","Pan American STEPS Noncommunicable Diseases and Risk Factors Survey","National","15-64","Current smokeless tobacco use","0.4","0.5","0.3"
"Tunisia","Enquete nationale morbidite et recours aux soins","National","35-70","Current smokeless tobacco use","5.4","8.6","2.2"
"Turkey","","","","Not available","Not available","Not available","Not available"
"Turkmenistan","Turkmenistan STEPS","National","18-64","Current smokeless tobacco use","1.4","2.7","Not available"
"Tuvalu","","","","Not available","Not available","Not available","Not available"
"Uganda","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","2.4","1.7","3.0"
"Ukraine","Global Adult Tobacco Survey (GATS) - Ukraine","National","15+","Current smokeless tobacco use","0.2","0.5","0.0"
"United Arab Emirates","","","","Not available","Not available","Not available","Not available"
"United Kingdom of Great Britain and Northern Ireland","","","","Not available","Not available","Not available","Not available"
"United Republic of Tanzania","Tanzania STEPS","National","25-64","Current smokeless tobacco use","2.5","2.9","2.2"
"United States of America","National Adult Tobacco Survey","National","15+","Current smokeless tobacco use","2.6","4.8","0.3"
"Uruguay","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","","0.0",""
"Uzbekistan","Social Research Center population survey of tobacco consumption practices","National","15+","Current smokeless tobacco use","11.3","22.5","0.4"
"Vanuatu","","","","Not available","Not available","Not available","Not available"
"Venezuela (Bolivarian Republic of)","Estudio Nacional de Drogas en Poblacion General","National","18-65","Current smokeless tobacco use","3.5","6.2","0.9"
"Viet Nam","Global Adult Tobacco Survey","National","15+","Current smokeless tobacco use","1.3","0.3","2.3"
"Yemen","National Health and Demographic Survey","National","10+","Current smokeless tobacco use","9.2","13.7","4.8"
"Zambia","","","","Not available","Not available","Not available","Not available"
"Zimbabwe","Zimbabwe Demographic and Health Survey","National","15-54","Current smokeless tobacco use","","1.6","0.4"
