index,Country,Year,Male,Female
57,Belgium,2010,29.1,21.3
58,Belgium,2005,32.1,22.7
59,Belgium,2000,35.6,24.3
60,Benin,2015,17.7,1.0
61,Benin,2012,16.4,1.1
62,Benin,2010,15.6,1.1
63,Benin,2005,13.8,1.3
64,Benin,2000,12.4,1.6
65,Bolivia (Plurinational State of),2015,30.5,17.1
66,Bolivia (Plurinational State of),2012,33.6,18.6
67,Bolivia (Plurinational State of),2010,35.8,19.7
68,Bolivia (Plurinational State of),2005,42.8,22.8
69,Bolivia (Plurinational State of),2000,50.9,26.4
70,Bosnia and Herzegovina,2015,47.2,30.0
71,Bosnia and Herzegovina,2012,49.0,31.2
72,Bosnia and Herzegovina,2010,50.0,31.7
73,Bosnia and Herzegovina,2005,53.8,33.6
74,Bosnia and Herzegovina,2000,57.7,35.9
75,Brazil,2015,19.3,11.3
76,Brazil,2012,21.0,12.4
77,Brazil,2010,22.2,13.3
78,Brazil,2005,25.4,15.6
79,Brazil,2000,29.4,18.5
80,Brunei Darussalam,2015,29.3,3.1
81,Brunei Darussalam,2012,29.2,3.4
82,Brunei Darussalam,2010,29.1,3.6
83,Brunei Darussalam,2005,29.2,4.3
84,Brunei Darussalam,2000,29.5,5.1
85,Bulgaria,2015,42.4,28.2
86,Bulgaria,2012,45.2,30.4
87,Bulgaria,2010,47.1,32.0
88,Bulgaria,2005,52.7,36.4
89,Bulgaria,2000,58.8,42.0
90,Burkina Faso,2015,36.0,4.5
91,Burkina Faso,2012,33.1,5.1
92,Burkina Faso,2010,31.1,5.5
93,Burkina Faso,2005,27.0,6.9
94,Burkina Faso,2000,23.6,8.6
95,Cabo Verde,2015,22.2,3.5
96,Cabo Verde,2012,20.2,3.9
97,Cabo Verde,2010,19.1,4.1
98,Cabo Verde,2005,16.5,4.9
99,Cabo Verde,2000,14.4,5.9
100,Cambodia,2015,44.1,2.8
101,Cambodia,2012,45.2,3.5
102,Cambodia,2010,46.0,4.0
103,Cambodia,2005,48.4,5.7
104,Cambodia,2000,51.2,8.1
105,Cameroon,2015,43.8,0.9
106,Cameroon,2012,33.7,0.9
107,Cameroon,2010,28.5,0.9
108,Cameroon,2005,18.7,0.9
109,Cameroon,2000,12.3,0.9
110,Canada,2015,17.7,12.2
111,Canada,2012,19.5,14.2
112,Canada,2010,20.9,15.8
113,Canada,2005,24.8,20.4
114,Canada,2000,29.4,26.5
115,Chile,2015,40.0,36.0
116,Chile,2012,41.7,37.4
117,Chile,2010,42.8,38.3
118,Chile,2005,46.2,40.8
119,Chile,2000,49.9,43.6
120,China,2015,47.6,1.8
121,China,2012,49.0,2.0
122,China,2010,50.1,2.2
123,China,2005,52.9,2.8
124,China,2000,55.8,3.5
125,Colombia,2015,16.0,6.2
126,Colombia,2012,17.2,6.9
127,Colombia,2010,18.3,7.4
128,Colombia,2005,21.1,8.8
129,Colombia,2000,24.5,10.6
130,Comoros,2015,23.1,6.0
131,Comoros,2012,24.4,7.1
132,Comoros,2010,25.2,7.9
133,Comoros,2005,27.7,10.5
134,Comoros,2000,30.6,14.0
135,Congo,2015,43.2,1.7
136,Congo,2012,32.1,1.7
137,Congo,2010,26.4,1.7
138,Congo,2005,16.2,1.6
139,Congo,2000,10.1,1.6
140,Costa Rica,2015,18.5,8.3
141,Costa Rica,2012,19.8,9.2
142,Costa Rica,2010,20.9,9.8
143,Costa Rica,2005,23.7,11.7
144,Costa Rica,2000,27.5,14.1
145,Croatia,2015,39.4,33.5
146,Croatia,2012,39.4,32.3
147,Croatia,2010,39.4,31.6
148,Croatia,2005,39.8,29.6
149,Croatia,2000,40.3,28.0
150,Cuba,2015,52.7,17.8
151,Cuba,2012,53.2,19.8
152,Cuba,2010,53.2,21.3
153,Cuba,2005,54.0,25.6
154,Cuba,2000,54.7,31.1
155,Czechia,2015,37.4,29.0
156,Czechia,2012,38.0,28.9
157,Czechia,2010,38.5,29.2
158,Czechia,2005,39.5,29.4
159,Czechia,2000,40.7,29.7
160,Denmark,2015,17.6,16.4
161,Denmark,2012,21.0,19.0
162,Denmark,2010,23.4,20.9
163,Denmark,2005,31.1,27.0
164,Denmark,2000,41.6,34.6
165,Dominican Republic,2015,18.8,9.4
166,Dominican Republic,2012,19.1,10.3
167,Dominican Republic,2010,19.5,10.9
168,Dominican Republic,2005,20.4,12.9
169,Dominican Republic,2000,21.7,15.2
170,Ecuador,2015,14.0,3.3
171,Ecuador,2012,15.1,3.6
172,Ecuador,2010,15.9,3.8
173,Ecuador,2005,18.4,4.5
174,Ecuador,2000,21.4,5.3
175,Egypt,2015,49.9,0.3
176,Egypt,2012,45.9,0.4
177,Egypt,2010,43.9,0.5
178,Egypt,2005,39.3,0.8
179,Egypt,2000,35.5,1.2
180,Estonia,2015,41.2,24.9
181,Estonia,2012,43.6,25.4
182,Estonia,2010,45.2,25.6
183,Estonia,2005,49.9,26.5
184,Estonia,2000,55.3,27.4
185,Eswatini,2015,19.0,2.2
186,Eswatini,2012,18.2,2.4
187,Eswatini,2010,17.8,2.5
188,Eswatini,2005,16.8,2.8
189,Eswatini,2000,15.9,3.2
190,Ethiopia,2015,8.9,0.5
191,Ethiopia,2012,8.9,0.5
192,Ethiopia,2010,9.0,0.5
193,Ethiopia,2005,9.1,0.6
194,Ethiopia,2000,9.0,0.6
195,Fiji,2015,38.7,12.4
196,Fiji,2012,40.6,12.8
197,Fiji,2010,42.3,13.1
198,Fiji,2005,46.4,14.1
199,Fiji,2000,52.0,15.2
200,Finland,2015,23.2,18.5
201,Finland,2012,25.0,19.6
202,Finland,2010,26.3,20.6
203,Finland,2005,29.9,22.8
204,Finland,2000,33.8,25.7
205,France,2015,29.8,25.6
206,France,2012,31.1,25.8
207,France,2010,32.1,26.2
208,France,2005,34.8,26.8
209,France,2000,37.7,27.8
210,Georgia,2015,57.7,5.7
211,Georgia,2012,58.6,5.8
212,Georgia,2010,59.6,6.0
213,Georgia,2005,61.4,6.2
214,Georgia,2000,63.4,6.5
215,Germany,2015,32.4,28.3
216,Germany,2012,33.6,28.7
217,Germany,2010,34.3,29.0
218,Germany,2005,36.1,29.6
219,Germany,2000,38.4,30.4
220,Ghana,2015,13.1,0.4
221,Ghana,2012,12.1,0.5
222,Ghana,2010,11.6,0.5
223,Ghana,2005,10.3,0.6
224,Ghana,2000,9.2,0.8
225,Greece,2015,52.6,32.7
226,Greece,2012,54.3,34.2
227,Greece,2010,55.6,35.2
228,Greece,2005,59.3,38.6
229,Greece,2000,63.0,42.4
230,Haiti,2015,22.1,2.5
231,Haiti,2012,21.2,2.7
232,Haiti,2010,20.7,2.9
233,Haiti,2005,19.4,3.3
234,Haiti,2000,18.4,3.8
235,Honduras,2015,33.3,2.1
236,Honduras,2012,37.2,2.4
237,Honduras,2010,40.3,2.7
238,Honduras,2005,49.2,3.3
239,Honduras,2000,60.2,4.2
240,Hungary,2015,32.0,24.8
241,Hungary,2012,34.5,26.5
242,Hungary,2010,35.9,27.5
243,Hungary,2005,40.6,30.8
244,Hungary,2000,46.1,34.4
245,Iceland,2015,17.0,15.1
246,Iceland,2012,19.3,16.9
247,Iceland,2010,21.1,18.1
248,Iceland,2005,26.5,22.1
249,Iceland,2000,33.5,27.1
250,India,2015,20.4,1.9
251,India,2012,22.8,2.4
252,India,2010,24.4,2.9
253,India,2005,29.5,4.6
254,India,2000,35.9,7.3
255,Indonesia,2015,76.2,3.6
256,Indonesia,2012,71.8,4.0
257,Indonesia,2010,68.4,4.2
258,Indonesia,2005,62.0,5.0
259,Indonesia,2000,56.2,6.0
260,Iran (Islamic Republic of),2015,21.5,0.7
261,Iran (Islamic Republic of),2012,22.9,1.1
262,Iran (Islamic Republic of),2010,23.8,1.5
263,Iran (Islamic Republic of),2005,26.8,2.9
264,Iran (Islamic Republic of),2000,30.2,5.8
265,Ireland,2015,22.4,21.9
266,Ireland,2012,24.2,23.5
267,Ireland,2010,25.5,24.4
268,Ireland,2005,28.9,27.3
269,Ireland,2000,33.1,30.5
270,Israel,2015,41.2,19.3
271,Israel,2012,41.7,20.1
272,Israel,2010,41.8,20.4
273,Israel,2005,42.5,21.6
274,Israel,2000,43.6,22.8
275,Italy,2015,28.3,19.7
276,Italy,2012,29.1,19.8
277,Italy,2010,29.7,19.8
278,Italy,2005,31.2,20.1
279,Italy,2000,32.9,20.2
280,Jamaica,2015,29.9,5.9
281,Jamaica,2012,29.5,6.4
282,Jamaica,2010,29.3,6.7
283,Jamaica,2005,28.9,7.8
284,Jamaica,2000,29.0,8.9
285,Japan,2015,33.7,10.6
286,Japan,2012,36.3,11.3
287,Japan,2010,38.4,11.7
288,Japan,2005,44.4,13.0
289,Japan,2000,51.3,14.4
290,Jordan,2015,70.2,10.7
291,Jordan,2012,63.6,10.0
292,Jordan,2010,58.9,9.5
293,Jordan,2005,49.6,8.5
294,Jordan,2000,42.0,7.7
295,Kazakhstan,2015,43.9,9.3
296,Kazakhstan,2012,46.3,9.7
297,Kazakhstan,2010,47.8,9.9
298,Kazakhstan,2005,52.2,10.6
299,Kazakhstan,2000,57.4,11.5
300,Kenya,2015,24.6,2.1
301,Kenya,2012,25.7,2.3
302,Kenya,2010,26.3,2.4
303,Kenya,2005,28.5,2.7
304,Kenya,2000,31.0,3.0
305,Kiribati,2015,63.9,40.9
306,Kiribati,2012,67.3,42.6
307,Kiribati,2010,69.3,43.7
308,Kiribati,2005,75.9,47.1
309,Kiribati,2000,82.0,51.1
310,Kyrgyzstan,2015,50.4,3.6
311,Kyrgyzstan,2012,50.2,3.8
312,Kyrgyzstan,2010,50.4,3.9
313,Kyrgyzstan,2005,50.3,4.4
314,Kyrgyzstan,2000,51.1,4.8
315,Lao People's Democratic Republic,2015,56.6,9.1
316,Lao People's Democratic Republic,2012,59.8,10.7
317,Lao People's Democratic Republic,2010,61.7,11.9
318,Lao People's Democratic Republic,2005,67.6,15.7
319,Lao People's Democratic Republic,2000,74.2,20.7
320,Latvia,2015,48.9,24.3
321,Latvia,2012,50.5,24.4
322,Latvia,2010,51.6,24.4
323,Latvia,2005,53.9,24.6
324,Latvia,2000,57.1,25.0
325,Lebanon,2015,45.4,31.0
326,Lebanon,2012,43.0,29.4
327,Lebanon,2010,41.7,28.3
328,Lebanon,2005,38.3,26.2
329,Lebanon,2000,35.4,24.3
330,Lesotho,2015,55.1,0.4
331,Lesotho,2012,50.1,0.4
332,Lesotho,2010,47.2,0.5
333,Lesotho,2005,40.7,0.5
334,Lesotho,2000,35.2,0.6
335,Liberia,2015,27.6,2.4
336,Liberia,2012,25.4,2.7
337,Liberia,2010,23.9,2.8
338,Liberia,2005,21.0,3.4
339,Liberia,2000,18.4,4.1
340,Lithuania,2015,38.1,22.2
341,Lithuania,2012,40.5,21.9
342,Lithuania,2010,42.3,21.8
343,Lithuania,2005,47.3,21.3
344,Lithuania,2000,53.1,20.9
345,Luxembourg,2015,25.8,21.4
346,Luxembourg,2012,27.4,22.3
347,Luxembourg,2010,28.4,22.7
348,Luxembourg,2005,31.1,24.1
349,Luxembourg,2000,34.3,25.8
350,Malawi,2015,25.4,6.0
351,Malawi,2012,26.6,6.6
352,Malawi,2010,27.6,7.0
353,Malawi,2005,30.0,8.2
354,Malawi,2000,32.8,9.7
355,Malaysia,2015,43.0,1.4
356,Malaysia,2012,44.9,1.6
357,Malaysia,2010,46.2,1.8
358,Malaysia,2005,50.0,2.4
359,Malaysia,2000,54.8,3.2
360,Mali,2015,36.8,3.2
361,Mali,2012,32.6,3.4
362,Mali,2010,30.3,3.5
363,Mali,2005,24.9,3.7
364,Mali,2000,20.6,4.1
365,Malta,2015,29.7,20.2
366,Malta,2012,31.5,21.5
367,Malta,2010,32.5,22.0
368,Malta,2005,35.4,24.3
369,Malta,2000,38.8,26.9
370,Mauritania,2015,44.0,3.7
371,Mauritania,2012,38.9,4.0
372,Mauritania,2010,35.8,4.2
373,Mauritania,2005,29.2,4.9
374,Mauritania,2000,23.9,5.7
375,Mauritius,2015,40.1,3.3
376,Mauritius,2012,41.3,3.5
377,Mauritius,2010,42.0,3.7
378,Mauritius,2005,44.1,4.2
379,Mauritius,2000,46.6,4.8
380,Mexico,2015,20.8,6.6
381,Mexico,2012,23.3,7.6
382,Mexico,2010,25.1,8.4
383,Mexico,2005,30.2,10.5
384,Mexico,2000,36.6,13.3
385,Mongolia,2015,47.7,5.3
386,Mongolia,2012,49.3,5.8
387,Mongolia,2010,50.3,6.3
388,Mongolia,2005,53.6,7.5
389,Mongolia,2000,56.9,9.0
390,Morocco,2015,45.4,1.4
391,Morocco,2012,42.5,1.7
392,Morocco,2010,40.6,1.9
393,Morocco,2005,36.4,2.8
394,Morocco,2000,33.1,4.0
395,Mozambique,2015,31.4,5.9
396,Mozambique,2012,33.4,6.2
397,Mozambique,2010,34.8,6.4
398,Mozambique,2005,38.5,6.9
399,Mozambique,2000,42.7,7.6
400,Myanmar,2015,31.6,6.4
401,Myanmar,2012,35.2,7.7
402,Myanmar,2010,38.3,8.6
403,Myanmar,2005,46.4,11.6
404,Myanmar,2000,56.6,15.8
405,Namibia,2015,38.9,11.4
406,Namibia,2012,36.4,12.0
407,Namibia,2010,35.1,12.3
408,Namibia,2005,31.9,13.4
409,Namibia,2000,29.3,14.7
410,Nauru,2015,43.0,52.0
411,Nauru,2012,45.4,53.7
412,Nauru,2010,46.9,55.5
413,Nauru,2005,51.6,59.3
414,Nauru,2000,57.0,63.9
415,Nepal,2015,37.1,11.1
416,Nepal,2012,38.7,13.9
417,Nepal,2010,39.7,16.1
418,Nepal,2005,42.5,23.5
419,Nepal,2000,45.6,34.3
420,Netherlands,2015,26.2,23.9
421,Netherlands,2012,27.5,24.7
422,Netherlands,2010,29.4,25.9
423,Netherlands,2005,32.7,28.1
424,Netherlands,2000,36.7,30.7
425,Niger,2015,18.6,0.2
426,Niger,2012,15.9,0.2
427,Niger,2010,14.4,0.2
428,Niger,2005,11.3,0.3
429,Niger,2000,9.0,0.3
430,Nigeria,2015,17.4,1.1
431,Nigeria,2012,15.9,1.2
432,Nigeria,2010,15.0,1.3
433,Nigeria,2005,13.0,1.6
434,Nigeria,2000,11.3,2.0
435,Niue,2015,20.3,11.4
436,Niue,2012,21.9,12.0
437,Niue,2010,23.2,12.5
438,Niue,2005,26.5,14.0
439,Niue,2000,30.6,15.7
440,Norway,2015,22.4,22.1
441,Norway,2012,25.5,24.9
442,Norway,2010,28.0,27.1
443,Norway,2005,34.7,33.4
444,Norway,2000,43.1,41.0
445,Oman,2015,21.0,1.0
446,Oman,2012,18.9,1.0
447,Oman,2010,17.5,1.0
448,Oman,2005,14.8,0.9
449,Oman,2000,12.5,0.8
450,Pakistan,2015,41.9,3.0
451,Pakistan,2012,40.6,3.6
452,Pakistan,2010,40.2,4.2
453,Pakistan,2005,38.5,5.9
454,Pakistan,2000,37.4,8.4
455,Panama,2015,10.6,2.6
456,Panama,2012,12.5,2.9
457,Panama,2010,14.1,3.2
458,Panama,2005,18.9,4.1
459,Panama,2000,25.5,5.2
460,Paraguay,2015,28.3,7.9
461,Paraguay,2012,31.3,9.0
462,Paraguay,2010,33.1,9.7
463,Paraguay,2005,39.0,12.0
464,Paraguay,2000,46.2,14.9
465,Philippines,2015,43.0,8.5
466,Philippines,2012,45.8,9.2
467,Philippines,2010,47.6,9.7
468,Philippines,2005,53.2,11.2
469,Philippines,2000,59.1,12.9
470,Poland,2015,32.4,23.7
471,Poland,2012,34.9,26.1
472,Poland,2010,36.5,27.7
473,Poland,2005,41.1,32.2
474,Poland,2000,46.9,37.9
475,Portugal,2015,31.5,13.7
476,Portugal,2012,32.4,14.0
477,Portugal,2010,32.9,14.2
478,Portugal,2005,34.5,14.9
479,Portugal,2000,36.1,15.7
480,Republic of Korea,2015,49.8,4.2
481,Republic of Korea,2012,51.7,4.4
482,Republic of Korea,2010,53.3,4.6
483,Republic of Korea,2005,57.0,5.0
484,Republic of Korea,2000,61.5,5.6
485,Republic of Moldova,2015,45.7,5.4
486,Republic of Moldova,2012,44.6,5.4
487,Republic of Moldova,2010,44.1,5.4
488,Republic of Moldova,2005,42.1,5.4
489,Republic of Moldova,2000,40.7,5.5
490,Romania,2015,36.9,22.7
491,Romania,2012,39.5,23.4
492,Romania,2010,41.4,23.9
493,Romania,2005,46.6,25.6
494,Romania,2000,52.8,27.4
495,Russian Federation,2015,59.0,22.8
496,Russian Federation,2012,60.3,22.5
497,Russian Federation,2010,61.2,22.4
498,Russian Federation,2005,64.0,22.1
499,Russian Federation,2000,67.2,21.8
500,Samoa,2015,41.0,18.9
501,Samoa,2012,44.8,20.1
502,Samoa,2010,47.4,20.9
503,Samoa,2005,54.9,23.3
504,Samoa,2000,63.4,26.0
505,Saudi Arabia,2015,27.9,2.9
506,Saudi Arabia,2012,26.3,3.0
507,Saudi Arabia,2010,24.9,3.0
508,Saudi Arabia,2005,22.3,3.3
509,Saudi Arabia,2000,20.2,3.5
510,Senegal,2015,23.4,0.7
511,Senegal,2012,22.1,0.8
512,Senegal,2010,21.2,0.9
513,Senegal,2005,19.2,1.1
514,Senegal,2000,17.6,1.4
515,Serbia,2015,43.6,39.7
516,Serbia,2012,45.5,39.8
517,Serbia,2010,46.8,40.2
518,Serbia,2005,50.4,40.6
519,Serbia,2000,54.6,41.2
520,Seychelles,2015,43.0,8.8
521,Seychelles,2012,44.0,9.2
522,Seychelles,2010,44.8,9.5
523,Seychelles,2005,46.2,10.3
524,Seychelles,2000,48.1,11.2
525,Sierra Leone,2015,60.0,12.0
526,Sierra Leone,2012,55.0,13.4
527,Sierra Leone,2010,52.1,14.4
528,Sierra Leone,2005,45.6,17.2
529,Sierra Leone,2000,40.1,20.9
530,Singapore,2015,28.0,5.0
531,Singapore,2012,27.7,5.2
532,Singapore,2010,27.6,5.3
533,Singapore,2005,27.5,5.5
534,Singapore,2000,27.4,5.8
535,Slovakia,2015,39.7,17.6
536,Slovakia,2012,40.7,18.1
537,Slovakia,2010,41.4,18.6
538,Slovakia,2005,43.7,19.9
539,Slovakia,2000,46.2,21.4
540,Slovenia,2015,22.3,18.1
541,Slovenia,2012,23.6,18.9
542,Slovenia,2010,24.6,19.5
543,Slovenia,2005,27.0,21.0
544,Slovenia,2000,29.9,22.6
545,South Africa,2015,31.4,6.5
546,South Africa,2012,32.1,7.4
547,South Africa,2010,32.5,8.0
548,South Africa,2005,33.9,10.0
549,South Africa,2000,35.3,12.5
550,Spain,2015,31.3,27.1
551,Spain,2012,33.7,28.0
552,Spain,2010,35.3,28.6
553,Spain,2005,39.8,30.4
554,Spain,2000,45.2,32.3
555,Sri Lanka,2015,28.4,0.4
556,Sri Lanka,2012,28.8,0.5
557,Sri Lanka,2010,29.3,0.6
558,Sri Lanka,2005,30.2,1.1
559,Sri Lanka,2000,31.5,1.9
560,Sweden,2015,20.4,20.8
561,Sweden,2012,22.3,23.0
562,Sweden,2010,23.8,24.5
563,Sweden,2005,27.7,29.1
564,Sweden,2000,32.6,34.6
565,Switzerland,2015,26.9,19.7
566,Switzerland,2012,28.3,20.9
567,Switzerland,2010,29.2,21.7
568,Switzerland,2005,31.8,23.8
569,Switzerland,2000,35.0,26.1
570,Thailand,2015,41.4,2.3
571,Thailand,2012,42.3,2.4
572,Thailand,2010,43.2,2.5
573,Thailand,2005,44.9,2.8
574,Thailand,2000,46.6,3.1
575,Tonga,2015,47.3,13.0
576,Tonga,2012,48.4,13.3
577,Tonga,2010,49.3,13.6
578,Tonga,2005,51.8,14.3
579,Tonga,2000,54.4,15.1
580,Turkey,2015,39.5,12.4
581,Turkey,2012,42.7,13.5
582,Turkey,2010,45.0,14.4
583,Turkey,2005,51.5,16.7
584,Turkey,2000,58.7,19.7
585,Uganda,2015,16.4,2.9
586,Uganda,2012,18.1,3.2
587,Uganda,2010,19.3,3.4
588,Uganda,2005,23.1,4.0
589,Uganda,2000,27.5,4.8
590,Ukraine,2015,49.4,14.0
591,Ukraine,2012,51.4,14.4
592,Ukraine,2010,52.6,14.6
593,Ukraine,2005,56.4,15.1
594,Ukraine,2000,60.2,15.9
595,United Kingdom of Great Britain and Northern Ireland,2015,19.9,18.4
596,United Kingdom of Great Britain and Northern Ireland,2012,21.8,20.1
597,United Kingdom of Great Britain and Northern Ireland,2010,23.0,21.4
598,United Kingdom of Great Britain and Northern Ireland,2005,26.8,24.7
599,United Kingdom of Great Britain and Northern Ireland,2000,31.3,28.9
600,United Republic of Tanzania,2015,27.5,3.8
601,United Republic of Tanzania,2012,29.2,4.0
602,United Republic of Tanzania,2010,30.3,4.1
603,United Republic of Tanzania,2005,33.8,4.5
604,United Republic of Tanzania,2000,37.6,4.9
605,United States of America,2015,19.5,15.0
606,United States of America,2012,21.0,16.3
607,United States of America,2010,22.0,17.3
608,United States of America,2005,24.7,19.9
609,United States of America,2000,27.7,23.0
610,Uruguay,2015,26.7,19.4
611,Uruguay,2012,30.0,22.0
612,Uruguay,2010,32.3,24.0
613,Uruguay,2005,39.6,29.6
614,Uruguay,2000,48.1,36.7
615,Uzbekistan,2015,24.9,1.3
616,Uzbekistan,2012,25.9,1.3
617,Uzbekistan,2010,26.5,1.4
618,Uzbekistan,2005,28.1,1.5
619,Uzbekistan,2000,30.1,1.5
620,Viet Nam,2015,47.1,1.3
621,Viet Nam,2012,47.6,1.4
622,Viet Nam,2010,48.3,1.4
623,Viet Nam,2005,49.5,1.6
624,Viet Nam,2000,51.1,1.9
625,Zambia,2015,26.5,4.6
626,Zambia,2012,27.3,4.8
627,Zambia,2010,27.8,5.0
628,Zambia,2005,29.3,5.5
629,Zambia,2000,31.0,6.1
630,Zimbabwe,2015,31.2,2.1
631,Zimbabwe,2012,31.5,2.3
632,Zimbabwe,2010,31.8,2.4
633,Zimbabwe,2005,32.5,2.7
634,Zimbabwe,2000,33.5,3.1
