Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Belgium,Comportement des fumeurs en Belgique - enquete tabac fondation contre le cancer,2018,National,15-75,. . .,. . .,. . .,. . .,. . .,. . .,23.0,21.0,22.0,17.0,16.0,17.0,. . .,. . .,. . .,. . .,. . .,. . .
Belize,Multiple Indicator Cluster Survey (MICS),2015,National,15-49,16.4,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Benin,L'Enquete STEPS Au Benin,2015,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,9.5,0.5,5.0,7.4,0.4,3.8,. . .,. . .,. . .,. . .,. . .,. . .
Bhutan,Bhutan STEPS Survey,2014,National,18-69,33.6,13.6,24.8,30.0,11.8,22.0,10.8,3.1,7.4,6.0,2.1,4.3,8.3,1.9,5.5,5.4,0.0,3.6
Bolivia (Plurinational State of),Estudio Nacional de Prevalencia y Características del Consumo de Drogas en Hogares Bolivianos,2014,National,12-65,. . .,. . .,. . .,. . .,. . .,. . .,21.9,9.1,14.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Bosnia and Herzegovina,Bosnia and Herzegovina MICS,2011-12,National,15-49,39.9,27.3,33.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,39.3,27.1,33.2,. . .,. . .,. . .
Botswana,Global Adult Tobacco Survey,2017,National,15+,27.0,8.8,17.6,. . .,. . .,. . .,25.7,3.6,14.2,18.2,2.2,9.9,23.9,2.8,12.9,. . .,. . .,. . .
Brazil,Pesquisa Nacional de Saúde (National Health Survey),2013,National,18+,19.2,11.2,15.0,. . .,. . .,. . .,18.9,11.0,14.7,16.2,9.7,12.7,18.7,10.8,14.5,13.7,8.2,10.8
Brunei Darussalam,STEPS Survey,2016,National,18-69,37.3,5.8,21.5,24.8,1.9,13.3,36.3,3.7,19.9,24.8,1.8,13.3,. . .,. . .,. . .,. . .,. . .,. . .
Bulgaria,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,36.0,45.0,28.0,36.0,. . .,. . .,36.0,. . .,. . .,. . .,. . .,. . .,. . .
Burkina Faso,"Enquête STEPs sur les facteurs de risque des maladies non transmissibles, Burkina Faso",2013,National,25-64,29.2,11.8,19.8,24.9,11.2,17.5,24.5,0.1,11.3,20.8,0.1,9.6,24.2,0.1,11.1,20.5,0.1,9.4
Burundi,Demographic and Health Survey,2016-17,National,15-59 (men) 15-49 (women),. . .,5.4,. . .,. . .,. . .,. . .,13.7,1.4,. . .,10.8,. . .,. . .,13.6,1.1,. . .,. . .,. . .,. . .
Cabo Verde,National Survey on Drug Use in the General Population,2012,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,5.4,2.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cambodia,National Adult Tobacco Survey of Cambodia,2014,National,15+,33.6,11.0,21.8,. . .,. . .,. . .,32.9,2.4,16.9,32.1,2.4,16.5,32.3,2.4,16.6,32.1,2.4,16.5
Cameroon,Global Adult Tobacco Survey (GATS),2013,National,15+,13.9,4.3,8.9,. . .,. . .,. . .,11.8,0.6,6.0,9.1,0.5,4.6,11.7,0.5,5.9,9.0,0.4,4.5
Canada,"Canadian Tobacco, Alcohol and Drugs Survey (CTADS)",2017,National,15+,21.2,14.4,17.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,16.7,13.5,15.1,11.9,9.7,10.8
Central African Republic,STEPS survey (Bangui),2010,Subnational,25-64,38.6,20.4,28.8,31.1,14.7,22.2,21.3,4.8,12.4,17.3,3.4,9.8,15.4,2.1,8.2,12.5,1.5,6.5
Chad,Demographic and Health Survey,2014-15,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.4,0.4,. . .,. . .,. . .,. . .
Chile,Encuesta nacional de Salud ,2016-17,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,37.8,29.1,33.3,28.2,20.9,24.5
China,Adult Tobacco Survey (GATS) - China,2015,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,52.1,2.7,27.7,44.8,2.0,23.7,51.4,2.7,27.3,43.7,1.9,23.1
Colombia,Encuesta Nacional de Calidad de Vida,2017,National,18-80,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,8.3,. . .,. . .,4.9,. . .,. . .,. . .,. . .,. . .,. . .
Comoros,Comoros STEPS,2011,National,25-64,39.5,18.9,29.2,36.1,16.7,26.4,23.8,2.0,12.9,20.6,1.2,10.9,. . .,. . .,. . .,19.8,1.1,10.4
Congo,Enquête par grappes à indicateurs multiples (MICS),2014-15,National,15-49,18.7,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cook Islands,STEPS Survey,2014,National,18-64,. . .,. . .,. . .,. . .,. . .,. . .,37.9,27.7,32.6,28.4,20.6,24.3,. . .,. . .,. . .,. . .,. . .,. . .
Costa Rica,Global Adult Tobacco Survey,2015,National,15+,13.6,4.5,9.1,. . .,. . .,. . .,13.4,4.4,8.9,8.7,2.9,5.8,13.0,4.3,8.7,8.4,2.9,5.7
Côte d'Ivoire,Enquête par grappe à indicateurs multiples (MICS),2016,National,15-49,. . .,. . .,. . .,. . .,. . .,. . .,17.1,0.6,8.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Croatia,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,34.0,40.0,31.0,35.0,. . .,. . .,33.0,. . .,. . .,. . .,. . .,. . .,. . .
Cuba,Encuesta de Indicadores Múltiples por Conglomerados (MICS),2014,National,15-49,27.2,11.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,26.8,10.9,. . .,. . .,. . .,. . .
Cyprus,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,26.0,39.0,17.0,28.0,. . .,. . .,26.0,. . .,. . .,. . .,. . .,. . .,. . .
Czechia,The use of tobacco in the Czech Republic,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,30.8,19.9,25.2,22.6,14.5,18.4,30.1,19.3,24.6,. . .,. . .,. . .
Democratic People's Republic of Korea,National Adult Tobacco Survey,2017,National,15+,46.1,0.0,22.0,. . .,. . .,. . .,46.1,0.0,22.0,. . .,. . .,. . .,40.3,0.0,19.2,. . .,. . .,. . .
Democratic Republic of the Congo,Demographic and Health Survey,2013-14,National,15-59 (men) 15-49 (women),26.5,4.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,19.3,1.0,. . .,. . .,. . .,. . .
Denmark,Monitorering af danskernes rygevaner [Monitoring smoking habits in the Danish population],2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,22.0,21.0,22.0,16.0,16.0,16.0,. . .,. . .,. . .,. . .,. . .,. . .
Djibouti,Enquête Djiboutienne sur la santé de la famille (PAPFAM),2012,National,10+,18.0,2.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Dominica,Dominica STEPS Survey,2007-08,National,15-64,17.0,3.2,10.4,9.7,0.9,5.5,17.0,3.2,10.4,9.7,0.9,5.5,16.6,3.2,10.2,8.9,0.9,5.1
Dominican Republic,Demographic and Health Survey,2013,National,15-59 (men) 15-49 (women),12.8,4.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.2,3.9,. . .,. . .,. . .,. . .
Ecuador,STEPS Survey,2018,National,18-69,23.8,4.0,13.7,6.3,0.9,3.5,23.8,4.0,13.7,6.3,0.9,3.5,19.3,2.5,10.7,6.0,0.9,3.4
Egypt,STEPS Survey,2016-17,National,15-69,43.6,0.5,22.8,35.5,0.4,18.5,43.4,0.5,22.7,35.3,0.4,18.4,35.9,0.3,18.6,29.7,0.3,15.4
El Salvador,Encuesta Nacional de Alcohol y Tabaco (ENAT),2014,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,16.9,2.2,8.8,10.1,1.2,5.2
Equatorial Guinea,Encuesta Demografica y de Salud,2011,National,15-59 (men) 15-49 (women),27.2,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,26.7,1.5,. . .,25.9,. . .,. . .
Eritrea,Eritrea STEPS survey,2010,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,11.3,0.2,2.2,9.2,0.2,1.8,. . .,. . .,. . .,. . .,. . .,. . .
Estonia,Health Behaviour among Estonian Adult Population,2018,National,16-64,35.1,20.7,26.5,24.5,13.0,17.7,31.4,20.0,24.7,23.4,12.9,17.2,28.4,18.0,22.2,23.0,12.6,16.8
Eswatini,Swaziland STEPS NCD Risk Factor Survey,2014,National,15-69,14.0,2.5,7.8,10.5,2.0,5.9,11.7,1.2,6.0,9.5,0.8,4.8,. . .,. . .,. . .,. . .,. . .,. . .
Ethiopia,Global Adult Tobacco Survey,2016,National,15+,8.1,1.8,5.0,. . .,. . .,. . .,6.2,1.2,3.7,5.2,1.1,3.2,5.5,0.2,2.9,4.6,0.2,2.4
Fiji,Fiji STEPS,2011,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,47.0,14.3,30.7,27.1,6.0,16.6,. . .,. . .,. . .,. . .,. . .,. . .
Finland,National FinSote Survey,2018,National,20-64,32.5,18.4,25.5,19.2,11.2,15.2,28.5,18.0,23.3,15.7,10.8,13.3,. . .,. . .,. . .,. . .,. . .,. . .
France,Baromètre santé,2017,National,18-75,. . .,. . .,. . .,. . .,. . .,. . .,35.2,28.7,31.9,29.8,24.2,26.9,. . .,. . .,. . .,. . .,. . .,. . .
Gabon,Enquête Démographique et de Santé au Gabon,2012,National,15-59 (men) 15-49 (women),22.4,3.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,22.3,2.9,. . .,21.5,. . .,. . .
Gambia,Demographic and Health Survey,2013,National,15-59 (men) 15-49 (women),23.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.5,0.0,. . .,. . .,. . .,. . .
Georgia,STEPS Survey,2016,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,57.0,7.0,31.0,51.5,6.2,28.0,. . .,. . .,. . .,. . .,. . .,. . .
Germany,Microcensus (Mikrozensus),2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,26.4,18.6,22.4,22.3,15.3,18.8,. . .,. . .,. . .,. . .,. . .,. . .
Ghana,Demographic and Health Survey,2014,National,15-49,6.3,0.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.8,0.1,1.7,0.0,0.0,0.0
Greece,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,35.0,41.0,32.0,37.0,. . .,. . .,35.0,. . .,. . .,. . .,. . .,. . .,. . .
Grenada,Grenada STEPS,2010-11,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,30.7,6.5,18.7,19.4,2.8,11.2,. . .,. . .,. . .,. . .,. . .,11.1
Guatemala,IV Encuesta Nacional de Salud Materno Infantil,2014-15,National,15-59 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,21.5,1.5,. . .,. . .,. . .,. . .
Guinea,Demographic and Health Survey,2005,National,15-49,. . .,1.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,0.8,. . .,. . .,0.8,. . .
Guinea-Bissau,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guyana,Guyana STEPS Survey,2016,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,26.6,3.3,15.4,18.8,2.2,10.8,25.4,2.8,14.5,18.0,2.1,10.3
Haiti,"Enquête Mortalité, Morbidité et Utilisation des Services en Haïti",2016-17,National,15-64,. . .,4.5,. . .,. . .,. . .,. . .,9.8,1.7,. . .,6.6,. . .,. . .,9.6,1.7,. . .,. . .,. . .,. . .
Honduras,Encuesta Nacional de Demografía y Salud ENDESA,2011-12,National,15-59 (men) 15-49 (women),24.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,24.1,1.7,. . .,19.9,. . .,. . .
Hungary,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,25.0,31.0,23.0,27.0,. . .,. . .,25.0,. . .,. . .,. . .,. . .,. . .,. . .
Iceland,Tóbakskönnun by Gallup,2018,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,12.2,12.5,12.3,8.1,9.2,8.6,. . .,. . .,. . .,. . .,. . .,. . .
India,Global Adult Tobacco Survey,2016-17,National,15+,42.4,14.2,28.6,36.9,12.4,24.9,19.0,2.0,10.7,15.2,1.7,8.6,7.3,0.6,4.0,3.8,0.4,2.2
Indonesia,Basic Health Research (RISKESDAS),2018,National,15+,62.9,4.8,33.8,. . .,. . .,. . .,. . .,. . .,28.8,. . .,. . .,24.3,. . .,. . .,. . .,. . .,. . .,. . .
Iran (Islamic Republic of),STEPS Survey,2016,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,24.4,3.8,13.6,18.7,0.8,9.4,20.1,0.9,10.1,. . .,. . .,. . .
Iraq,STEPS Survey,2015,National,18+,38.2,1.9,. . .,. . .,. . .,. . .,38.0,1.9,20.7,36.1,1.8,19.6,. . .,. . .,. . .,. . .,. . .,. . .
Ireland,Healthy Ireland Survey,2018,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,22.0,17.0,20.0,19.0,15.0,17.0,. . .,. . .,. . .,. . .,. . .,. . .
Israel,National Health Interview Survey,2013,National,21+,. . .,. . .,. . .,. . .,. . .,. . .,27.3,12.6,19.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Italy,Survey by ISTAT,2018,National,14+,. . .,. . .,. . .,. . .,. . .,. . .,23.3,15.0,19.0,. . .,. . .,. . .,22.5,14.9,18.6,. . .,. . .,. . .
Jamaica,National Drug Use Prevalence Survey,2016,National,12-65,. . .,. . .,. . .,. . .,. . .,. . .,16.8,5.3,11.0,11.0,3.1,7.0,. . .,. . .,. . .,. . .,. . .,. . .
Japan,National Health and Nutrition Survey,2017,National,20+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,29.3,7.2,17.7,27.8,6.5,16.6
Jordan,Prevalence of Risk Factors of Non-communicable Diseases Jordan,2007,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,49.6,5.7,29.0,. . .,. . .,. . .
Kazakhstan,Global Adult Tobacco Survey,2014,National,15+,43.4,4.5,22.9,. . .,. . .,. . .,42.4,4.5,22.4,36.9,3.2,19.1,42.2,4.2,22.2,36.3,3.0,18.7
Kenya,Kenya STEPS survey,2015,National,18-69,23.0,4.1,13.3,18.4,3.1,10.6,19.7,0.9,10.1,16.6,0.4,8.3,. . .,. . .,. . .,. . .,. . .,. . .
Kiribati,Kiribati STEPS survey,2015-16,National,18-69,68.2,34.5,49.9,64.8,31.8,46.9,64.7,33.4,47.7,61.6,30.9,45.0,. . .,. . .,. . .,. . .,. . .,. . .
Kuwait,STEPS Survey,2014,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,39.2,3.3,20.5,35.4,2.0,18.0,. . .,. . .,. . .,31.8,1.3,15.9
Kyrgyzstan,Kyrgyzstan STEPS,2013,National,25-64,55.8,2.8,29.6,50.3,2.5,26.6,48.2,2.7,25.7,41.7,2.4,22.2,48.2,2.7,25.7,41.7,2.4,22.2
Lao People's Democratic Republic,National Adult Tobacco Survey,2015,National,15+,51.1,15.0,32.1,. . .,. . .,. . .,50.8,7.1,27.9,46.9,6.6,25.7,48.6,4.9,25.6,. . .,. . .,. . .
Latvia,Health behaviour among Latvian adult population,2016,National,15-74,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,48.4,19.5,33.0,. . .,. . .,. . .,. . .,. . .,. . .
Lebanon,WHO STEPwise approach for Non-Communicable Diseases Risk Factors Surveillance,2016-17,National,18-69,48.7,29.4,38.7,39.8,19.5,29.3,47.6,29.0,38.0,29.5,18.6,23.2,. . .,. . .,. . .,. . .,. . .,. . .
Lesotho,Demographic and Health Survey,2014,National,15-59 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,41.3,0.3,. . .,. . .,. . .,. . .
Liberia,Demographic and Health Survey,2013,National,15-49,10.2,0.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.6,0.3,. . .,. . .,. . .,. . .
Libya,STEPS Survey,2009,National,25-64,. . .,. . .,. . .,. . .,. . .,. . .,49.6,0.7,. . .,47.6,0.1,. . .,. . .,. . .,25.1,42.2,. . .,23.8
Lithuania,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,28.0,42.0,19.0,29.0,. . .,. . .,28.0,. . .,. . .,. . .,. . .,. . .,. . .
Luxembourg,LE TABAGISME AU LUXEMBOURG - Fondation Cancer/TNS ILRES,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,24.0,19.0,21.0,18.0,14.0,16.0,. . .,. . .,. . .,. . .,. . .,. . .
Madagascar,Recherche avancée sur le nicotine et le tabac ,2013,National,15-59 (men) 15-49 (women),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,28.5,0.8,14.7,. . .,. . .,. . .
Malawi,STEPS Survey,2017,National,18-69,22.0,3.0,12.2,16.5,2.0,9.0,21.7,1.5,11.2,16.2,1.0,8.4,. . .,. . .,. . .,. . .,. . .,. . .
Malaysia,National Health And Morbidity Survey,2015,National,15-75,43.0,1.4,22.8,38.8,1.1,20.5,42.5,1.3,22.6,. . .,. . .,. . .,42.4,1.2,22.5,. . .,. . .,. . .
Maldives,Demographic and Health Survey,2009,National,15-64,53.5,. . .,. . .,. . .,. . .,. . .,53.1,8.9,. . .,. . .,. . .,. . .,46.8,2.3,. . .,. . .,2.1,. . .
Mali,Enquête STEPS,2013,National,15-64,. . .,. . .,11.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,24.5,2.7,10.8,21.6,1.7,9.1
Malta,European Health Interview Survey,2014-15,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,27.7,20.7,24.1,23.4,17.0,20.1,. . .,. . .,. . .,21.2,16.5,18.8
Marshall Islands,NCD Risk Factors STEPS Survey,2002,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,39.5,6.0,23.1,34.7,4.2,19.8,. . .,. . .,. . .,. . .,. . .,. . .
Mauritania,"World Health Survey, Mauritania",2003,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,27.4,4.2,15.4,23.2,3.2,12.8,. . .,. . .,. . .,11.7,2.2,6.7
Mauritius,Mauritius Noncommunicable Disease Survey,2015,National,18-74,. . .,. . .,. . .,. . .,. . .,. . .,38.5,4.1,19.7,. . .,. . .,. . .,38.5,4.1,19.7,. . .,. . .,. . .
Mexico,"Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco (ENCODAT)",2016-17,National,12-65,27.7,8.9,18.0,11.7,3.3,7.2,27.1,8.7,17.6,10.0,3.1,6.4,26.0,8.2,16.8,10.0,3.1,6.4
Micronesia (Federated States of),National Outcome Measures Survey,2012,National,12-98,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,69.1,46.9,62.4,39.8,25.4,35.4
Monaco,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mongolia,Mongolia STEPS survey on the Prevalence of NCD risk factors,2013,National,15-64,49.5,5.6,27.4,45.5,4.5,24.9,49.1,5.3,27.1,45.4,4.5,24.8,. . .,. . .,. . .,45.4,4.5,24.8
Montenegro,"Life quality, lifestyles and health risks of inhabitants of Montenegro",2017,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,36.2,34.5,35.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Morocco,STEPS Survey,2017,National,18-69,. . .,. . .,. . .,. . .,. . .,. . .,23.4,0.3,11.7,21.7,0.3,10.8,. . .,. . .,. . .,. . .,. . .,. . .
Mozambique,Inquérito Demográfico e de Saúde de Moçambique,2011,National,15-64,21.9,2.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,19.9,1.4,. . .,18.7,. . .,. . .
Myanmar,WHO STEPS Chronic Disease Risk Factor Surveillance,2014,National,25-64,79.8,29.1,54.4,67.8,21.6,44.7,43.8,8.4,26.1,34.0,7.4,20.7,. . .,. . .,. . .,. . .,. . .,. . .
Namibia,Demographic and Health Survey,2013,National,15-49,20.1,5.1,. . .,. . .,1.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,18.6,4.2,. . .,17.6,. . .,. . .
Nauru,STEPS Survey,2015-16,National,18-69,47.7,45.3,46.4,42.6,39.1,40.8,47.4,45.3,46.3,42.4,39.1,40.7,. . .,. . .,. . .,. . .,. . .,. . .
Nepal,Demographic and Health Survey,2016,National,15-49,. . .,. . .,. . .,. . .,. . .,. . .,27.2,5.8,. . .,16.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Netherlands,Health Survey of Statistics Netherlands (CBS) ,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,27.0,19.2,23.1,19.9,14.5,17.2,. . .,. . .,21.1,. . .,. . .,. . .
New Zealand,New Zealand Health Survey,2017-18,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,16.4,13.3,14.9,14.3,11.9,13.1,. . .,. . .,. . .,. . .,. . .,. . .
Nicaragua,Encuesta Nicaraguense de Demografía y Salud,2001,National,15-49,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.5,. . .,. . .,. . .,. . .,. . .,5.2,. . .,. . .,4.3,. . .
Niger,Enquête Démographique et de Santé et à Indicateurs Multiples au Niger,2012,National,15-59 (men) 15-49 (women),17.7,2.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14.0,. . .,. . .,13.9,. . .,. . .
