Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Dominica,Global Youth Tobacco Survey,2009,National,13-15,10.2,6.4,8.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Dominican Republic,Global Youth Tobacco Survey,2016,National,13-15,4.2,2.3,3.1,. . .,. . .,. . .,7.9,6.9,7.7,. . .,. . .,. . .
Ecuador,Global Youth Tobacco Survey,2016,National,13-15,2.5,1.8,2.1,. . .,. . .,. . .,12.7,8.7,10.7,. . .,. . .,. . .
Egypt,Global Youth Tobacco Survey,2014,National,13-15,2.7,5.4,4.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
El Salvador,Global Youth Tobacco Survey,2015,National,13-15,2.1,2,2,. . .,. . .,. . .,3.3,2.1,2.7,. . .,. . .,. . .
Equatorial Guinea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Eritrea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Estonia,Health Behaviour in School-aged Children,2013-14,National,11-15,3.7,0.7,2.2,1.6,0.1,0.8,7.4,3.9,5.7,1.6,0.2,0.9
Eswatini,Global Youth Tobacco Survey,2009,National,13-15,6,5,5.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ethiopia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Fiji,Global Youth Tobacco Survey,2016,National,13-15,2.6,1.5,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Finland,Adolescent Health and Lifestyle Survey,2015,National,14-14,3.5,0.7,2,0.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
France,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Gabon,Global Youth Tobacco Survey,2014,National,13-15,1.9,2.9,2.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Gambia,Global Youth Tobacco Survey,2017,National,13-15,2.3,0.9,1.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Georgia,Global Youth Tobacco Survey,2017,National,13-15,5,3.2,4.4,. . .,. . .,. . .,17.3,7.7,13.2,. . .,. . .,. . .
Germany,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ghana,Global Youth Tobacco Survey,2017,National,13-15,2.5,3.7,3.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Greece,Global Youth Tobacco Survey,2013,National,13-15,2.5,1.3,1.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Grenada,Global Youth Tobacco Survey,2016,National,13-15,2,1.6,1.8,. . .,. . .,. . .,9.7,4.9,7.2,. . .,. . .,. . .
Guatemala,Global Youth Tobacco Survey,2015,National,13-15,3,1.8,2.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guinea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guinea-Bissau,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guyana,Global Youth Tobacco Survey,2015,National,13-15,4.6,3,4.1,. . .,. . .,. . .,9.3,8,9,. . .,. . .,. . .
Haiti,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Honduras,Global Youth Tobacco Survey,2016,National,13-15,2.7,1.9,2.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Hungary,Global Youth Tobacco Survey,2016,National,13-15,1,1,1,0.1,0,0,. . .,. . .,. . .,0.8,0.1,0.5
Iceland,Rannsóknir og greining lagði fyrir nemendur í framhaldsskólum á Íslandi,2013,National,16-18,14,3.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
India,Global Youth Tobacco Survey,2009,National,13-15,11.1,6,9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Indonesia,Global Youth Tobacco Survey,2014,National,13-15,3,1.1,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Iran (Islamic Republic of),Global Youth Tobacco Survey,2016,National,13-15,3.1,0.8,1.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Iraq,Global Youth Tobacco Survey,2014,National,13-15,4.3,2.9,3.7,. . .,. . .,. . .,13.6,8.2,11.2,. . .,. . .,. . .
Ireland,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Israel,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Italy,Global Youth Tobacco Survey,2018,National,13-15,1.8,1.5,1.6,. . .,. . .,. . .,21.9,12.8,17.5,. . .,. . .,. . .
Jamaica,Global Youth Tobacco Survey,2017,National,13-15,2.8,2.5,2.6,. . .,. . .,. . .,13.7,9.7,11.7,. . .,. . .,. . .
Japan,National survey on underage smoking and drinking,2017,National,Junior-High,. . .,. . .,. . .,. . .,. . .,. . .,0.8,0.5,0.7,0.1,0.1,0.1
Jordan,Global Youth Tobacco Survey,2014,National,13-15,3.9,1.1,2.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kazakhstan,Health Behaviour in School-aged Children,2017,National,11-15,. . .,. . .,. . .,. . .,. . .,. . .,4.8,1.6,3.2,. . .,. . .,. . .
Kenya,Global Youth Tobacco Survey,2013,National,13-15,4.3,3.3,3.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kiribati,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kuwait,Global Youth Tobacco Survey,2016,National,13-15,3.1,2.3,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kyrgyzstan,Global Youth Tobacco Survey,2014,National,13-15,7.6,2.9,5.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Lao People's Democratic Republic,Global Youth Tobacco Survey,2016,National,13-15,4.8,2.8,3.8,. . .,. . .,. . .,5,3.7,4.3,. . .,. . .,. . .
Latvia,Global Youth Tobacco Survey,2014,National,13-15,4.2,2,3.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Lebanon,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Lesotho,Global Youth Tobacco Survey,2008,National,13-15,14.7,13.6,14.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Liberia,Global Youth Tobacco Survey (Monrovia),2008,Subnational,13-15,9,6.6,8.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Libya,Global Youth Tobacco Survey,2010,National,13-15,2,2.3,2.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Lithuania,Global Youth Tobacco Survey,2018,National,13-15,4.2,1.7,3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Luxembourg,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Madagascar,Global Youth Tobacco Survey,2018,National,13-15,1.1,2,1.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Malawi,Global Youth Tobacco Survey,2009,National,13-15,11.2,7.4,9.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Malaysia,National Health and Morbidity Survey - Adolescent Health Survey,2017,National,13-17,8.2,4.3,6.3,. . .,. . .,. . .,17,2.8,9.8,. . .,. . .,. . .
Maldives,Global Youth Tobacco Survey,2011,National,13-15,9.2,2.9,6.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mali,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Malta,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Marshall Islands,Global Youth Tobacco Survey,2016,National,13-15,18.9,11.8,14.9,. . .,. . .,. . .,21.8,12.4,16.7,. . .,. . .,. . .
Mauritania,Global Youth Tobacco Survey,2018,National,13-15,6.5,6.8,6.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mauritius,Global Youth Tobacco Survey,2016,National,13-15,2.1,2.4,2.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mexico,Global Youth Tobacco Survey,2011,National,13-15,5.9,3.9,4.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Micronesia (Federated States of),Global Youth Tobacco Survey,2013,National,13-15,26.4,21.7,23.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Monaco,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mongolia,Global Youth Tobacco Survey,2014,National,13-15,13.6,5.7,9.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Montenegro,Global Youth Tobacco Survey,2014,National,13-15,2,1,1.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Morocco,Global Youth Tobacco Survey,2016,National,13-15,3.8,2.4,3.1,. . .,. . .,. . .,6.3,4.3,5.3,. . .,. . .,. . .
Mozambique,Global Youth Tobacco Survey,2013,National,13-15,8.3,6.5,7.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Myanmar,Global Youth Tobacco Survey,2016,National,13-15,11,1.5,5.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Namibia,Global Youth Tobacco Survey,2008,National,13-15,15.6,15.8,16,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Nauru,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Nepal,Global Youth Tobacco Survey,2011,National,13-15,19.7,12.9,16.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Netherlands,Youth Smoking Monitor,2013,National,10-19,0.3,0.1,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
New Zealand,ASH Year 10 Survey,2018,National,14-15,. . .,. . .,. . .,. . .,. . .,. . .,4.8,3.2,4,2.3,1.3,1.8
Nicaragua,Global Youth Tobacco Survey,2014,National,13-15,5.1,3.3,4.3,. . .,. . .,. . .,7.4,3.4,5.4,. . .,. . .,. . .
Niger,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Nigeria,Global Youth Tobacco Survey (Abuja),2008,Subnational,13-15,10.6,6.8,8.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Niue,Global Youth Tobacco Survey,2009,National,13-15,9,7.9,8.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
North Macedonia,Global Youth Tobacco Survey,2016,National,13-15,2.4,1.8,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Norway,Health Behaviour in School-aged Children,2014,National,15-15,12,6,9,10,4,7,. . .,. . .,. . .,. . .,. . .,. . .
Oman,Global Youth Tobacco Survey,2016,National,13-15,4.2,1.8,2.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Pakistan,Global Youth Tobacco Survey,2013,National,13-15,6.4,3.7,5.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Palau,Global Youth Tobacco Survey,2017,National,13-15,12.2,16.8,14.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Panama,Global Youth Tobacco Survey,2017,National,13-15,2.2,2.4,2.3,. . .,. . .,. . .,7.1,5.2,6.4,. . .,. . .,. . .
Papua New Guinea,Global Youth Tobacco Survey,2016,National,13-15,10.9,13.6,12.2,. . .,. . .,. . .,19.7,18.9,19.6,. . .,. . .,. . .
Paraguay,Global Youth Tobacco Survey,2014,National,13-15,2.3,1.4,1.9,. . .,. . .,. . .,4,3.3,3.7,. . .,. . .,. . .
Peru,Global Youth Tobacco Survey,2014,National,13-15,1.3,1.9,1.6,. . .,. . .,. . .,2.8,1.9,2.4,. . .,. . .,. . .
Philippines,Global Youth Tobacco Survey,2015,National,13-15,2.9,2.1,2.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Poland,Global Youth Tobacco Survey,2016,National,13-15,7.9,3.3,5.6,. . .,. . .,. . .,28,18.6,23.4,. . .,. . .,. . .
Portugal,Global Youth Tobacco Survey,2013,National,13-15,3.9,3.1,3.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Qatar,Global Youth Tobacco Survey,2013,National,13-15,9.4,3.2,6.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Republic of Korea,Korea Youth Risk Behavior Web-based Survey,2018,National,13-18,. . .,. . .,. . .,. . .,. . .,. . .,4.1,1.1,2.7,. . .,. . .,. . .
Republic of Moldova,Global Youth Tobacco Survey,2013,National,13-15,2.2,2.4,2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Romania,Global Youth Tobacco Survey,2017,National,13-15,. . .,. . .,. . .,. . .,. . .,. . .,10.1,5.9,8.2,. . .,. . .,. . .
Russian Federation,Global Youth Tobacco Survey,2015,National,13-15,3.8,1.6,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Rwanda,Global Youth Tobacco Survey,2008,National,13-15,8.3,6,7.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Saint Kitts and Nevis,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Saint Lucia,Global Youth Tobacco Survey,2017,National,13-15,4.5,2.4,3.5,. . .,. . .,. . .,15,6.6,11,. . .,. . .,. . .
Saint Vincent and the Grenadines,Global Youth Tobacco Survey,2011,National,13-15,7.1,5.5,6.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Samoa,Global Youth Tobacco Survey,2017,National,13-15,2.9,1.5,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
San Marino,Global Youth Tobacco Survey,2014,National,13-15,0.4,0.4,0.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sao Tome and Principe,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Saudi Arabia,Global Youth Tobacco Survey,2010,National,13-15,4.8,1.8,3.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Senegal,Global Youth Tobacco Survey,2013,National,13-15,6.6,1.8,4.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Serbia,Global Youth Tobacco Survey,2013,National,13-15,3.3,2.1,2.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Seychelles,Global Youth Tobacco Survey,2015,National,13-15,2.8,0.6,1.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sierra Leone,Global Youth Tobacco Survey,2017,National,13-15,6.5,5.4,6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Singapore,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Slovakia,Global Youth Tobacco Survey,2016,National,13-15,4.9,2.4,3.7,. . .,. . .,. . .,9.6,6.5,8,. . .,. . .,. . .
Slovenia,Health Behaviour in School-aged Children,2014,National,15-15,1.1,0.4,0.7,. . .,. . .,. . .,1.5,0.4,0.9,. . .,. . .,. . .
Solomon Islands,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Somalia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
South Africa,South African National Youth Risk Behaviour Survey,2011,National,14-14,9.1,6.9,7.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
South Sudan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Spain,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sri Lanka,Global Youth Tobacco Survey,2015,National,13-15,4.2,0.5,2.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sudan,Global Youth Tobacco Survey,2014,National,13-15,6.1,3.2,4.9,. . .,. . .,. . .,8.6,6.5,7.8,. . .,. . .,. . .
Suriname,Global Youth Tobacco Survey,2016,National,13-15,1.7,0.6,1.1,. . .,. . .,. . .,7.4,4.6,5.9,. . .,. . .,. . .
Sweden,Alcohol and drug use among students (Skolelevers drogvanor),2018,National,15-16,10,3,7,4,0,2,9,6,8,. . .,. . .,1
Switzerland,Health Behaviour in School-aged Children,2018,National,15-15,6,1.3,3.7,. . .,. . .,. . .,20.6,12.9,16.8,. . .,. . .,. . .
Syrian Arab Republic,Global Youth Tobacco Survey,2010,National,13-15,7.6,3.6,5.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Tajikistan,Global Youth Tobacco Survey,2014,National,13-15,2,1.4,1.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Thailand,Global Youth Tobacco Survey,2015,National,13-15,4.1,1.3,2.7,. . .,. . .,. . .,4.7,1.9,3.3,. . .,. . .,. . .
Timor-Leste,Global Youth Tobacco Survey,2013,National,13-15,7.7,9.3,8.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Togo,Global Youth Tobacco Survey,2013,National,13-15,2.4,1.8,2.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
