Country,HEALTH WARNINGS ARE MANDATED,"AVERAGE OF FRONT AND REAR
%","FRONT
%","REAR
%",DOES THE LAW MANDATE SPECIFIC HEALTH WARNINGS ON PACKAGES?,HOW MANY HEALTH WARNINGS ARE APPROVED BY THE LAW?,DO HEALTH WARNINGS APPEAR ON EACH PACKAGE AND ANY OUTSIDE PACKAGING AND LABELLING USED IN THE RETAIL SALE?,DO HEALTH WARNINGS DESCRIBE THE HARMFUL EFFECTS OF TOBACCO USE ON HEALTH?,"DOES THE LAW MANDATE FONT STYLE, FONT SIZE AND COLOUR OF HEALTH WARNINGS?",ARE THE HEALTH WARNINGS ROTATING?,ARE THE HEALTH WARNINGS WRITTEN IN THE PRINCIPAL LANGUAGE(S) OF THE COUNTRY?,DO THE HEALTH WARNINGS INCLUDE A PHOTOGRAPH OR GRAPHIC?
Chile,Yes,50,50,50,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
China,Yes,35,35,35,Yes,3,Yes,Yes,Yes,Yes,Yes,No
Colombia,Yes,30,30,30,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Comoros,Yes,40,40,40,Yes,1,Yes,No,Yes,No,Yes,No
Congo,Yes,30,^,^,No,—,Yes,No,No,Yes,Yes,No
Cook Islands,Yes,50,50,50,Yes,6,Yes,Yes,Yes,Yes,Yes,No
Costa Rica,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Côte d'Ivoire,Yes,^,^,^,Yes,1,No,No,No,No,Yes,No
Croatia,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Cuba,Yes,30,^,^,Yes,5,Yes,Yes,Yes,Yes,Yes,No
Cyprus,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Czechia,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Democratic People's Republic of Korea,Yes,^,^,^,No,—,No,No,No,No,No,No
Democratic Republic of the Congo,Yes,50,50,50,Yes,4,Yes,Yes,No,Yes,No,No
Denmark,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Djibouti,Yes,50,50,50,Yes,11,Yes,Yes,Yes,Yes,Yes,Yes
Dominica,No,—,—,—,—,—,—,—,—,—,—,—
Dominican Republic,Yes,^,^,^,Yes,1,Yes,No,Yes,No,Yes,No
Ecuador,Yes,60,60,60,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Egypt,Yes,50,50,50,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
El Salvador,Yes,50,50,50,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Equatorial Guinea,No,—,—,—,—,—,—,—,—,—,—,—
Eritrea,Yes,30,30,30,No,—,Yes,Yes,No,Yes,No,No
Estonia,Yes,50,50,50,No,—,Yes,No,No,No,No,No
Eswatini,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Ethiopia,Yes,30,30,30,Yes,7,Yes,Yes,No,Yes,Yes,No
Fiji,Yes,60,30,90,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes
Finland,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
France,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Gabon,Yes,63,60,65,Yes,1,Yes,Yes,No,Yes,Yes,Yes
Gambia,Yes,30,30,30,Yes,2,Yes,Yes,No,No,No,No
Georgia,Yes,65,65,65,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Germany,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Ghana,Yes,50,50,50,Yes,12,Yes,Yes,No,Yes,Yes,No
Greece,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Grenada,No,—,—,—,—,—,—,—,—,—,—,—
Guatemala,Yes,13,25,0,Yes,6,Yes,Yes,Yes,Yes,Yes,No
Guinea,Yes,30,30,30,Yes,1,Yes,No,No,No,Yes,No
Guinea-Bissau,No,—,—,—,—,—,—,—,—,—,—,—
Guyana,Yes,60,60,60,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes
Haiti,No,—,—,—,—,—,—,—,—,—,—,—
Honduras,Yes,50,50,50,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
Hungary,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Iceland,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
India,Yes,85,85,85,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
Indonesia,Yes,40,40,40,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes
Iran (Islamic Republic of),Yes,50,50,50,Yes,13,Yes,Yes,Yes,Yes,Yes,Yes
Iraq,Yes,30,30,30,No,—,Yes,No,No,Yes,Yes,Yes
Ireland,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Israel,Yes,30,30,30,Yes,13,Yes,Yes,Yes,Yes,Yes,No
Italy,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Jamaica,Yes,60,60,60,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Japan,Yes,30,30,30,Yes,8,Yes,Yes,No,Yes,Yes,No
Jordan,Yes,40,40,40,Yes,5,No,Yes,Yes,Yes,Yes,Yes
Kazakhstan,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Kenya,Yes,40,30,50,Yes,13,Yes,Yes,Yes,Yes,Yes,Yes
Kiribati,Yes,30,30,30,No,—,Yes,No,No,Yes,Yes,No
Kuwait,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
Kyrgyzstan,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Lao People's Democratic Republic,Yes,75,75,75,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Latvia,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Lebanon,Yes,40,40,40,Yes,12,Yes,Yes,Yes,Yes,Yes,No
Lesotho,No,—,—,—,—,—,—,—,—,—,—,—
Liberia,No,—,—,—,—,—,—,—,—,—,—,—
Libya,Yes,25,50,0,Yes,1,Yes,Yes,No,Yes,Yes,No
Lithuania,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Luxembourg,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Madagascar,Yes,50,50,50,Yes,7,Yes,Yes,Yes,Yes,Yes,Yes
Malawi,No,—,—,—,—,—,—,—,—,—,—,—
Malaysia,Yes,55,50,60,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Maldives,Yes,30,30,30,Yes,5,Yes,Yes,No,Yes,Yes,No
Mali,Yes,30,30,30,Yes,1,Yes,No,Yes,No,Yes,No
Malta,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Marshall Islands,Yes,^,^,^,No,—,Yes,Yes,No,No,No,No
Mauritania,Yes,70,^,^,No,—,Yes,No,No,No,Yes,No
Mauritius,Yes,65,60,70,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes
Mexico,Yes,65,30,100,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Micronesia (Federated States of),No,—,—,—,—,—,—,—,—,—,—,—
Monaco,No,—,—,—,—,—,—,—,—,—,—,—
Mongolia,Yes,65,65,65,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Montenegro,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Morocco,Yes,^,^,^,Yes,1,Yes,No,No,No,No,No
Mozambique,Yes,28,30,25,No,—,Yes,No,No,No,Yes,No
Myanmar,Yes,75,75,75,Yes,10,No,Yes,Yes,Yes,Yes,Yes
Namibia,Yes,55,50,60,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Nauru,Yes,30,30,30,Yes,6,Yes,Yes,Yes,Yes,Yes,No
Nepal,Yes,90,90,90,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes
Netherlands,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
New Zealand,Yes,88,75,100,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes
Nicaragua,Yes,50,50,50,Yes,6,Yes,No,Yes,Yes,Yes,No
Niger,Yes,50,50,50,Yes,8,Yes,Yes,Yes,Yes,Yes,No
Nigeria,Yes,50,^,^,Yes,2,Yes,Yes,No,Yes,Yes,No
Niue,Yes,90,90,90,No,—,Yes,No,No,Yes,No,No
North Macedonia,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Norway,Yes,35,30,40,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Oman,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
Pakistan,Yes,60,60,60,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
Palau,No,—,—,—,—,—,—,—,—,—,—,—
Panama,Yes,50,50,50,Yes,5,Yes,Yes,Yes,Yes,Yes,Yes
Papua New Guinea,Yes,50,50,50,No,—,Yes,No,No,Yes,No,No
Paraguay,Yes,40,40,40,Yes,4,Yes,Yes,No,Yes,Yes,Yes
Peru,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Philippines,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Poland,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Portugal,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Qatar,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
Republic of Korea,Yes,50,50,50,Yes,10,No,Yes,Yes,Yes,Yes,Yes
Republic of Moldova,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Romania,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Russian Federation,Yes,50,50,50,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Rwanda,Yes,30,30,30,Yes,1,No,Yes,No,Yes,Yes,No
Saint Kitts and Nevis,No,—,—,—,—,—,—,—,—,—,—,—
Saint Lucia,Yes,50,50,50,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Saint Vincent and the Grenadines,No,—,—,—,—,—,—,—,—,—,—,—
Samoa,Yes,60,30,90,Yes,14,Yes,Yes,Yes,Yes,Yes,Yes
San Marino,No,—,—,—,—,—,—,—,—,—,—,—
Sao Tome and Principe,Yes,^,^,^,No,—,No,No,No,No,No,No
Saudi Arabia,Yes,65,65,65,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
Senegal,Yes,70,70,70,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
Serbia,Yes,35,30,40,Yes,12,No,Yes,Yes,Yes,Yes,No
Seychelles,Yes,50,50,50,Yes,8,Yes,Yes,Yes,Yes,Yes,Yes
Sierra Leone,No,—,—,—,—,—,—,—,—,—,—,—
Singapore,Yes,50,50,50,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Slovakia,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Slovenia,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Solomon Islands,Yes,50,70,30,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Somalia,No,—,—,—,—,—,—,—,—,—,—,—
South Africa,Yes,20,15,25,Yes,8,Yes,Yes,Yes,Yes,Yes,No
South Sudan,No,—,—,—,—,—,—,—,—,—,—,—
Spain,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Sri Lanka,Yes,80,80,80,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
Sudan,Yes,15,30,0,Yes,1,No,No,No,Yes,Yes,No
Suriname,Yes,50,50,50,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Sweden,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
Switzerland,Yes,43,35,50,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Syrian Arab Republic,Yes,15,30,0,Yes,1,Yes,Yes,No,No,Yes,No
Tajikistan,Yes,75,75,75,No,—,Yes,No,Yes,No,Yes,No
Thailand,Yes,85,85,85,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Timor-Leste,Yes,93,85,100,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Togo,Yes,65,65,65,Yes,12,Yes,Yes,Yes,Yes,Yes,No
Tonga,Yes,50,50,50,Yes,6,Yes,Yes,Yes,Yes,Yes,No
Trinidad and Tobago,Yes,50,50,50,Yes,24,Yes,Yes,Yes,Yes,Yes,Yes
Tunisia,Yes,30,30,30,Yes,1,Yes,Yes,No,No,Yes,No
Turkey,Yes,85,85,85,Yes,16,Yes,Yes,Yes,Yes,Yes,Yes
Turkmenistan,Yes,65,65,65,Yes,10,Yes,Yes,Yes,Yes,Yes,Yes
Tuvalu,Yes,30,30,30,No,—,Yes,No,No,Yes,No,No
Uganda,Yes,65,65,65,Yes,1,Yes,Yes,No,No,Yes,No
Ukraine,Yes,50,50,50,Yes,11,Yes,Yes,Yes,Yes,Yes,Yes
United Arab Emirates,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
United Kingdom of Great Britain and Northern Ireland,Yes,65,65,65,Yes,15,Yes,Yes,Yes,Yes,Yes,Yes
United Republic of Tanzania,Yes,30,30,30,Yes,10,No,Yes,No,Yes,Yes,No
United States of America,Yes,50,50,50,Yes,9,Yes,Yes,Yes,Yes,Yes,No
Uruguay,Yes,80,80,80,Yes,4,Yes,Yes,Yes,Yes,Yes,Yes
Uzbekistan,Yes,40,40,40,Yes,7,Yes,Yes,No,Yes,Yes,No
Vanuatu,Yes,90,90,90,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
Venezuela (Bolivarian Republic of),Yes,65,30,100,Yes,12,Yes,Yes,Yes,Yes,Yes,Yes
Viet Nam,Yes,50,50,50,Yes,6,Yes,Yes,Yes,Yes,Yes,Yes
West Bank and Gaza Strip,Yes,10,20,0,Yes,1,Yes,Yes,No,No,Yes,No
Yemen,Yes,50,50,50,Yes,4,No,Yes,Yes,Yes,Yes,Yes
Zambia,Yes,^,^,^,Yes,1,Yes,No,No,No,No,No
Zimbabwe,Yes,20,15,25,Yes,1,No,Yes,No,No,No,No
