Country,TITLE OF SURVEY,Year,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (M),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%) (F),CURRENT SMOKELESS TOBACCO USE PREVALENCE (%)(B),DAILY SMOKELESS TOBACCO USE PREVALENCE (%))(M),DAILY SMOKELESS TOBACCO USE PREVALENCE (%)(F),DAILY SMOKELESS TOBACCO USE PREVALENCE (%) (B),CURRENT E-CIGARETTE USE PREVALENCE (%) (M),CURRENT E-CIGARETTE USE PREVALENCE (%)) (F),CURRENT E-CIGARETTE USE PREVALENCE (%)(B),DAILY E-CIGARETTE USE PREVALENCE (%) (M),DAILY E-CIGARETTE USE PREVALENCE (%) (F),DAILY E-CIGARETTE USE PREVALENCE (%) (B)
Germany,Eurobarometer - Attitudes of Europeans Towards Tobacco,2017,National,15+,. . .,. . .,2.0,. . .,. . .,1.0,. . .,. . .,. . .,. . .,. . .,. . .
Ghana,Demographic and Health Survey,2014,National,15-49,1.9,0.3,0.8,0.0,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
Greece,Global Adult Tobacco Survey,2013,National,15+,0.2,0.2,0.2,. . .,. . .,. . .,1.7,2.1,1.9,. . .,. . .,. . .
Grenada,Grenada STEPS,2010-11,National,25-64,2.2,0.3,1.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guatemala,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guinea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guinea-Bissau,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Guyana,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Haiti,"Enquête Mortalité, Morbidité et Utilisation des Services en Haïti",2016-17,National,15-64,. . .,3.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Honduras,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Hungary,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,1.0,. . .,. . .,. . .
Iceland,Tóbakskönnun by Gallup,2018,National,18+,8.4,2.2,5.3,6.1,0.8,3.4,8.0,7.0,8.0,5.0,4.0,5.0
India,Global Adult Tobacco Survey,2016-17,National,15+,29.6,12.8,21.4,25.1,11.1,18.2,. . .,. . .,. . .,. . .,. . .,. . .
Indonesia,Basic Health Research (RISKESDAS),2018,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,2.8,2.7,2.8,. . .,. . .,. . .
Iran (Islamic Republic of),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Iraq,STEPS Survey,2015,National,18+,0.4,0.0,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ireland,Healthy Ireland Survey,2018,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,6.0,4.0,4.0,. . .,. . .,. . .
Israel,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Italy,Survey by DOXA/ISS,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,2.1,. . .,. . .,. . .
Jamaica,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Japan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Jordan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kazakhstan,Global Adult Tobacco Survey,2014,National,15+,2.8,0.0,1.3,. . .,. . .,. . .,2.5,0.9,1.7,. . .,. . .,. . .
Kenya,Kenya STEPS survey,2015,National,18-69,4.0,3.3,3.6,2.1,2.8,2.4,. . .,. . .,. . .,. . .,. . .,. . .
Kiribati,Kiribati STEPS survey,2015-16,National,18-69,7.6,1.4,4.2,. . .,. . .,2.9,. . .,. . .,. . .,. . .,. . .,. . .
Kuwait,STEPS Survey,2014,National,18-69,0.5,0.0,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Kyrgyzstan,Kyrgyzstan STEPS,2013,National,25-64,10.1,0.1,5.2,9.6,0.1,4.9,. . .,. . .,. . .,. . .,. . .,. . .
Lao People's Democratic Republic,National Adult Tobacco Survey,2015,National,15+,0.5,8.6,4.3,0.3,7.6,4.1,. . .,. . .,. . .,. . .,. . .,. . .
Latvia,Addictive substance use among general population ,2015,National,15-64,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,1.5,. . .,. . .,. . .
Lebanon,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Lesotho,Demographic and Health Survey,2014,National,15-59 (men) 15-49 (women),0.7,7.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Liberia,Liberia STEPS,2011,National,25-64,1.1,3.1,2.1,0.5,2.5,1.5,. . .,. . .,. . .,. . .,. . .,. . .
Libya,STEPS Survey,2009,National,25-64,2.2,0.1,1.2,1.2,. . .,0.7,. . .,. . .,. . .,. . .,. . .,. . .
Lithuania,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,1.0,. . .,. . .,. . .
Luxembourg,LE TABAGISME AU LUXEMBOURG - Fondation Cancer/TNS ILRES,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,1.2,. . .,. . .,. . .
Madagascar,Recherche avancée sur le nicotine et le tabac ,2013,National,15-59 (men) 15-49 (women),24.6,9.6,17.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Malawi,STEPS Survey,2017,National,18-69,0.7,2.1,1.4,0.2,1.2,0.8,. . .,. . .,. . .,. . .,. . .,. . .
Malaysia,National Health And Morbidity Survey,2015,National,15-75,20.4,0.8,10.9,18.4,0.7,9.8,. . .,. . .,. . .,. . .,. . .,. . .
Maldives,Demographic and Health Survey,2009,National,15-64,8.5,4.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mali,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Malta,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,1.9,1.1,1.5,1.0,0.5,0.7
Marshall Islands,NCD Risk Factors STEPS Survey,2002,National,15-64,13.7,4.0,8.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mauritania,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mauritius,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mexico,"Encuesta Nacional de Consumo de Drogas, Alcohol y Tabaco (ENCODAT)",2016-17,National,12-65,0.9,0.4,0.6,0.2,0.2,0.2,1.6,0.7,1.1,. . .,. . .,. . .
Micronesia (Federated States of),. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Monaco,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mongolia,Mongolia STEPS survey on the Prevalence of NCD risk factors,2013,National,15-64,0.8,0.2,0.5,0.2,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Montenegro,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Morocco,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Mozambique,Mozambique STEPS survey,2005,National,25-64,2.5,7.9,5.6,2.2,7.3,5.2,. . .,. . .,. . .,. . .,. . .,. . .
Myanmar,WHO STEPS Chronic Disease Risk Factor Surveillance,2014,National,25-64,62.2,24.1,43.2,44.5,16.1,30.3,. . .,. . .,. . .,. . .,. . .,. . .
Namibia,Demographic and Health Survey,2006-07,National,15-49,1.8,2.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Nauru,STEPS Survey,2015-16,National,18-69,0.2,. . .,0.1,. . .,. . .,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Nepal,Demographic and Health Survey,2016,National,15-49,40.1,3.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Netherlands,Health Survey of Statistics Netherlands (CBS) ,2017,National,18+,. . .,. . .,. . .,. . .,. . .,. . .,3.3,2.9,3.1,. . .,. . .,. . .
New Zealand,New Zealand Health Survey,2017-18,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,4.7,3.0,3.8,3.2,2.0,2.6
Nicaragua,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Niger,Enquête Démographique et de Santé et à Indicateurs Multiples au Niger,2012,National,15-59 (men) 15-49 (women),4.7,2.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Nigeria, Global Adult Tobacco Survey: Nigeria,2012,National,15+,2.9,0.9,1.9,2.2,0.6,1.4,. . .,. . .,. . .,. . .,. . .,. . .
Niue,STEPS Survey,2011,National,15+,0.3,0.2,0.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
North Macedonia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Norway,Statistics Norway Smoking Habits Survey (Reise- og ferieundersøkelse),2017,National,16-74,22.0,9.0,16.0,17.0,6.0,12.0,. . .,. . .,. . .,. . .,. . .,. . .
Oman,STEPS Survey,2017,National,15+,1.7,0.1,0.9,1.1,0.1,0.6,. . .,. . .,. . .,. . .,. . .,. . .
Pakistan,Global Adult Tobacco Survey,2014,National,15+,11.4,3.7,7.7,10.5,3.5,7.1,. . .,. . .,. . .,. . .,. . .,. . .
Palau,Palau Hybrid Survey,2016,National,18-97,40.2,48.8,44.4,38.0,47.3,42.6,. . .,. . .,. . .,. . .,. . .,. . .
Panama,Global Adult Tobacco Survey,2013,National,15+,1.0,0.5,0.8,0.1,0.1,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Papua New Guinea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Paraguay,Encuesta Nacional de Factores de Riesgo de Paraguay (STEPS),2011,National,15-74,3.0,1.6,2.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Peru,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Philippines,Global Adult Tobacco Survey,2015,National,15+,2.7,0.7,1.7,1.5,0.5,1.0,1.3,0.2,0.8,. . .,. . .,. . .
Poland,Nation-wide survey conducted by Chief Sanitary Inspectorate and Kantar Public Poland,2017,National,15+,. . .,. . .,1.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Portugal,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Qatar,Global Adult Tobacco Survey,2013,National,15+,1.5,<1,0.7,1.1,<1,0.5,. . .,. . .,. . .,. . .,. . .,. . .
Republic of Korea,Korea National Health and Nutrition Examination Survey (KNHANES),2017,National,19+,. . .,. . .,. . .,. . .,. . .,. . .,3.9,0.7,2.3,. . .,. . .,. . .
Republic of Moldova,Moldova STEPS,2013,National,18-69,0.1,0.0,0.0,0.1,0.0,0.0,. . .,. . .,. . .,. . .,. . .,. . .
Romania,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,0.0,. . .,. . .,. . .
Russian Federation,Romir poll,2017,National,18-60,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,8.0,. . .,. . .,. . .
Rwanda,Rwanda STEPS,2012,National,15-64,0.6,3.3,2.0,0.2,2.7,1.5,. . .,. . .,. . .,. . .,. . .,. . .
Saint Kitts and Nevis,STEPS Survey,2007-08,National,25-64,0.3,0.1,0.2,0.3,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .
Saint Lucia,Saint Lucia STEPS Survey,2012,National,25-64,1.3,0.2,0.8,0.6,0.0,0.3,. . .,. . .,. . .,. . .,. . .,. . .
Saint Vincent and the Grenadines,National Health and Nutrition Survey,2013-14,National,18-69,0.2,0.0,0.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Samoa,Samoa STEPS,2013,National,18-64,1.3,0.5,0.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
San Marino,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sao Tome and Principe,Sao Tomé et Principe Enquête STEPS,2008,National,25-64,3.8,1.9,2.8,1.6,0.8,1.2,. . .,. . .,. . .,. . .,. . .,. . .
Saudi Arabia,Saudi Health Information Survey,2014,National,15-65,1.5,0.3,0.9,0.5,0.2,0.3,. . .,. . .,. . .,. . .,. . .,. . .
Senegal,Enquête Démographique et de Santé à Indicateurs Multiples (EDS-MICS),2017,National,15-59 (men) 15-49 (women),0.1,0.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Serbia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Seychelles,The Seychelles Heart Study IV,2013,National,25-64,0.3,0.4,0.3,0.2,0.3,0.2,. . .,. . .,. . .,. . .,. . .,. . .
Sierra Leone,The Prevalence of the Common Risk Factors of Non-Communicable Diseases in Sierra Leone,2009,National,25-64,2.9,12.1,7.8,2.1,10.6,6.6,. . .,. . .,. . .,. . .,. . .,. . .
Singapore,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Slovakia,Eurobarometer - Attitudes of Europeans towards tobacco and electronic cigarettes,2017,National,15+,. . .,. . .,0.0,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Slovenia,European Health Interview Survey (GATS questionnaire),2014,National,15+,1.9,0.8,1.3,0.3,0.2,0.2,. . .,. . .,. . .,. . .,. . .,. . .
Solomon Islands,STEPS Survey,2015,National,18-69,4.0,2.9,3.4,. . .,. . .,1.8,. . .,. . .,. . .,. . .,. . .,. . .
Somalia,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
South Africa,Demographic and Health Survey,2016,National,15+,6.4,1.3,3.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
South Sudan,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Spain,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sri Lanka,Sri Lanka STEPS Survey,2014,National,18-69,26.0,5.3,15.8,18.9,4.1,11.7,. . .,. . .,. . .,. . .,. . .,. . .
Sudan,STEPS Survey,2016,National,18-69,14.3,0.2,7.9,12.3,0.1,6.7,. . .,. . .,. . .,. . .,. . .,. . .
Suriname,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Sweden,Nationella folkhälsoenkäten (National Survey on Public Health),2018,National,16-84,22.0,6.0,14.0,18.0,4.0,11.0,3.0,2.0,2.0,1.0,1.0,1.0
Switzerland,Enquête suisse sur la santé,2017,National,15+,. . .,. . .,. . .,. . .,. . .,. . .,1.9,1.2,1.5,. . .,. . .,. . .
