COUNTRY,NATIONAL TV AND RADIO,INTERNATIONAL TV AND RADIO,LOCAL MAGAZINES AND NEWSPAPERS,INTERNATIONAL MAGAZINES AND NEWSPAPERS,BILLBOARD AND OUTDOOR ADVERTISING,POINT OF SALE,INTERNET,FINES FOR VIOLATIONS OF BANS ON DIRECT ADVERTISING,OVERALL COMPLIANCE OF BAN ON DIRECT ADVERTISING *
Congo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Cook Islands,Yes,No,Yes,No,Yes,No,Yes,Yes,10
Costa Rica,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Côte d'Ivoire,No,No,No,No,No,No,No,No,—
Croatia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Cuba,No,No,No,No,No,No,No,No,—
Cyprus,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,. . .
Czechia,Yes,Yes,Yes,No,Yes,No,Yes,Yes,9
Democratic People's Republic of Korea,No,No,No,No,No,No,No,No,—
Democratic Republic of the Congo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,—
Denmark,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,9
Djibouti,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,. . .
Dominica,No,No,No,No,No,No,No,No,—
Dominican Republic,No,No,No,No,No,No,No,No,—
Ecuador,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Egypt,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
El Salvador,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7
Equatorial Guinea,No,No,No,No,No,No,No,No,—
Eritrea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,. . .
Estonia,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,7
Ethiopia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Fiji,Yes,No,Yes,No,Yes,No,No,Yes,9
Finland,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
France,Yes,No,Yes,No,Yes,Yes,Yes,Yes,9
Gabon,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Gambia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Georgia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Germany,Yes,Yes,Yes,Yes,No,No,Yes,Yes,8
Ghana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Greece,Yes,No,Yes,No,Yes,No,Yes,Yes,9
Grenada,No,No,No,No,No,No,No,No,—
Guatemala,No,No,No,No,No,No,No,No,—
Guinea,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,. . .
Guinea-Bissau,No,No,No,No,No,No,No,No,—
Guyana,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Haiti,No,No,No,No,No,No,No,No,—
Honduras,Yes,Yes,Yes,Yes,Yes,No,No,Yes,6
Hungary,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10
Iceland,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
India,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7
Indonesia,No,No,No,No,No,No,No,No,—
Iran (Islamic Republic of),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Iraq,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5
Ireland,Yes,Yes,Yes,No,Yes,Yes,No,Yes,10
Israel,Yes,No,No,No,No,No,No,Yes,. . .
Italy,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
Jamaica,Yes,No,No,No,No,No,No,Yes,8
Japan,No,No,No,No,No,No,No,No,—
Jordan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Kazakhstan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Kenya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Kiribati,Yes,No,Yes,No,Yes,Yes,Yes,Yes,8
Kuwait,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,. . .
Kyrgyzstan,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5
Lao People's Democratic Republic,Yes,Yes,Yes,Yes,Yes,No,Yes,No,9
Latvia,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
Lebanon,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Lesotho,No,No,No,No,No,No,No,No,—
Liberia,No,No,No,No,No,No,No,No,—
Libya,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Lithuania,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
Luxembourg,Yes,Yes,Yes,Yes,No,No,Yes,Yes,10
Madagascar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10
Malawi,No,No,No,No,No,No,No,No,—
Malaysia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Maldives,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,4
Mali,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Malta,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,10
Marshall Islands,No,No,No,No,Yes,No,No,Yes,10
Mauritania,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,—
Mauritius,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Mexico,Yes,Yes,No,No,Yes,No,No,Yes,5
Micronesia (Federated States of),Yes,No,Yes,No,Yes,No,No,Yes,—
Monaco,No,No,No,No,No,No,No,No,—
Mongolia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Montenegro,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,7
Morocco,Yes,Yes,Yes,No,No,No,No,Yes,8
Mozambique,Yes,Yes,Yes,Yes,Yes,No,No,Yes,10
Myanmar,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,6
Namibia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Nauru,Yes,No,Yes,No,Yes,No,Yes,Yes,. . .
Nepal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Netherlands,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10
New Zealand,Yes,No,Yes,No,Yes,Yes,Yes,Yes,10
Nicaragua,Yes,Yes,No,No,Yes,No,No,Yes,7
Niger,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Nigeria,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,5
Niue,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,—
North Macedonia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Norway,Yes,No,Yes,No,Yes,Yes,Yes,Yes,10
Oman,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Pakistan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,7
Palau,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,8
Panama,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Papua New Guinea,Yes,No,Yes,No,Yes,Yes,Yes,Yes,. . .
Paraguay,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5
Peru,Yes,Yes,No,No,No,No,Yes,Yes,6
Philippines,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,5
Poland,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,. . .
Portugal,Yes,No,Yes,No,Yes,Yes,Yes,Yes,5
Qatar,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Republic of Korea,Yes,Yes,No,No,Yes,No,Yes,Yes,7
Republic of Moldova,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Romania,Yes,Yes,Yes,No,Yes,No,Yes,Yes,10
Russian Federation,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Rwanda,No,No,No,No,No,No,No,No,—
Saint Kitts and Nevis,No,No,No,No,No,No,No,No,—
Saint Lucia,No,No,No,No,No,No,No,No,—
Saint Vincent and the Grenadines,No,No,No,No,No,No,No,No,—
Samoa,Yes,No,Yes,No,Yes,Yes,Yes,Yes,10
San Marino,Yes,Yes,Yes,Yes,Yes,No,No,Yes,. . .
Sao Tome and Principe,Yes,No,Yes,No,Yes,No,No,Yes,10
Saudi Arabia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Senegal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,6
Serbia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,8
Seychelles,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Sierra Leone,No,No,No,No,No,No,No,No,—
Singapore,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Slovakia,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,10
Slovenia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Solomon Islands,Yes,No,Yes,No,Yes,No,Yes,Yes,10
Somalia,No,No,No,No,No,No,No,No,—
South Africa,Yes,No,Yes,No,Yes,No,Yes,Yes,. . .
South Sudan,No,No,No,No,No,No,No,No,—
Spain,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,9
Sri Lanka,Yes,No,Yes,No,Yes,Yes,Yes,Yes,10
Sudan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Suriname,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Eswatini,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Sweden,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,. . .
Switzerland,Yes,Yes,No,No,No,No,No,Yes,6
Syrian Arab Republic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Tajikistan,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8
Thailand,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Timor-Leste,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,6
Togo,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Tonga,Yes,No,Yes,No,Yes,Yes,No,Yes,10
Trinidad and Tobago,Yes,Yes,No,No,Yes,No,No,Yes,8
Tunisia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,8
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Turkmenistan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10
Tuvalu,Yes,No,Yes,No,Yes,Yes,Yes,Yes,8
Uganda,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Ukraine,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,8
United Arab Emirates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,. . .
United Republic of Tanzania,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,. . .
United States of America,Yes,No,No,No,No,No,No,Yes,. . .
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
Uzbekistan,Yes,No,Yes,No,Yes,Yes,No,Yes,10
Vanuatu,Yes,No,Yes,No,Yes,Yes,Yes,Yes,8
Venezuela (Bolivarian Republic of),Yes,Yes,No,No,Yes,No,No,Yes,10
Viet Nam,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,9
West Bank and Gaza Strip,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,8
Yemen,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,7
Zambia,No,No,No,No,No,No,No,No,—
Zimbabwe,No,No,No,No,No,No,No,No,—
