COUNTRY,FREE DISTRIBUTION IN MAIL OR THROUGH OTHER MEANS,PROMOTIONAL DISCOUNTS,NON-TOBACCO PRODUCTS IDENTIFIED WITH TOBACCO BRAND NAMES,BRAND NAME OF NON-TOBACCO PRODUCTS USED FOR TOBACCO PRODUCT,TOBACCO BRANDS (PRODUCT PLACEMENT),TOBACCO PRODUCTS,"PRESCRIBED ANTI-TOBACCO ADS REQUIRED FOR ANY VISUAL ENTERTAINMENT MEDIA PRODUCT THAT DEPICTS TOBACCO PRODUCTS, USE OR IMAGES",COMPLETE BAN ON SPONSORSHIP,"ANY FORM OF CONTRIBUTION (FINANCIAL OR OTHER SUPPORT) TO ANY EVENT, ACTIVITY OR INDIVIDUAL","BAN ON THE PUBLICITY OF FINANCIAL OR OTHER SPONSORSHIP OR SUPPORT BY THE TOBACCO INDUSTRY OF EVENTS, ACTIVITIES, INDIVIDUALS",FINES FOR VIOLATIONS OF BANS ON PROMOTION AND SPONSORSHIP,OVERALL COMPLIANCE OF BANS ON PROMOTION AND SPONSORSHIP *
Botswana,No,No,No,No,Yes,No,No,No,No,No,Yes,. . .
Brazil,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,7
Brunei Darussalam,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,10
Bulgaria,No,No,No,No,Yes,No,No,No,No,No,Yes,8
Burkina Faso,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5
Burundi,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,—
Cabo Verde,No,Yes,No,No,Yes,No,No,No,No,No,No,5
Cambodia,No,No,No,No,No,No,No,No,No,No,Yes,—
Cameroon,No,No,No,No,No,No,No,No,No,Yes,Yes,. . .
Canada,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,10
Central African Republic,No,No,No,No,No,No,No,No,No,No,–,—
Chad,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,6
Chile,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,8
China,No,No,Yes,No,Yes,No,No,No,No,No,Yes,5
Colombia,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,6
Comoros,Yes,No,Yes,No,No,No,No,No,No,No,Yes,6
Congo,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6
Cook Islands,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,10
Costa Rica,No,No,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,7
Côte d'Ivoire,No,No,No,No,No,No,No,No,No,No,–,—
Croatia,Yes,Yes,Yes,No,Yes,Yes,–,Yes,Yes,Yes,Yes,8
Cuba,No,No,No,No,No,No,No,No,No,No,–,—
Cyprus,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,. . .
Czechia,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,8
Democratic People's Republic of Korea,No,No,No,No,No,No,No,No,No,No,–,—
Democratic Republic of the Congo,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,—
Denmark,Yes,No,No,Yes,Yes,No,No,No,No,Yes,Yes,5
Djibouti,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,. . .
Dominica,No,No,No,No,No,No,No,No,No,No,–,—
Dominican Republic,No,No,No,No,No,No,No,No,No,No,–,—
Ecuador,Yes,Yes,Yes,No,Yes,Yes,–,No,No,Yes,Yes,6
Egypt,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,5
El Salvador,No,No,Yes,Yes,Yes,Yes,–,No,Yes,–,Yes,7
Equatorial Guinea,No,No,No,No,No,No,No,No,No,No,–,—
Eritrea,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,. . .
Estonia,Yes,Yes,No,No,No,No,No,No,No,No,Yes,8
Eswatini,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,10
Ethiopia,Yes,No,Yes,Yes,Yes,Yes,–,No,Yes,–,No,5
Fiji,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,9
Finland,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,10
France,Yes,Yes,Yes,No,Yes,Yes,–,Yes,Yes,Yes,Yes,8
Gabon,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,5
Gambia,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,5
Georgia,Yes,Yes,Yes,No,Yes,Yes,–,Yes,Yes,Yes,Yes,5
Germany,No,Yes,No,No,Yes,No,No,No,No,No,Yes,6
Ghana,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,7
Greece,Yes,No,No,No,Yes,No,No,No,No,No,Yes,4
Grenada,No,No,No,No,No,No,No,No,No,No,–,—
Guatemala,Yes,Yes,No,No,No,No,Yes,No,No,No,Yes,3
Guinea,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,. . .
Guinea-Bissau,No,No,No,No,No,No,No,No,No,No,–,—
Guyana,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,6
Haiti,No,No,No,No,No,No,No,No,No,No,–,—
Honduras,No,No,No,No,No,No,No,No,No,No,–,—
Hungary,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,10
Iceland,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,10
India,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,7
Indonesia,Yes,Yes,Yes,No,No,Yes,–,No,No,No,No,0
Iran (Islamic Republic of),Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,10
Iraq,No,No,Yes,No,Yes,No,Yes,No,No,No,Yes,3
Ireland,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,8
Israel,Yes,No,No,No,Yes,No,No,No,No,No,Yes,. . .
Italy,No,No,No,No,Yes,No,No,No,No,No,No,5
Jamaica,No,No,No,No,No,No,No,No,No,No,–,—
Japan,No,No,No,No,No,No,No,No,No,No,–,—
Jordan,Yes,No,No,No,No,No,No,No,No,No,Yes,4
Kazakhstan,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,5
Kenya,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,9
Kiribati,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10
Kuwait,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,. . .
Kyrgyzstan,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,3
Lao People's Democratic Republic,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,6
Latvia,Yes,No,No,No,Yes,No,No,No,No,No,Yes,9
Lebanon,Yes,No,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,4
Lesotho,No,No,No,No,No,No,No,No,No,No,–,—
Liberia,No,No,No,No,No,No,No,No,No,No,–,—
Libya,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,7
Lithuania,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,10
Luxembourg,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,10
Madagascar,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,8
Malawi,No,No,No,No,No,No,No,No,No,No,–,—
Malaysia,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,3
Maldives,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,4
Mali,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5
Malta,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,10
Marshall Islands,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,10
Mauritania,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,—
Mauritius,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10
Mexico,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,5
Micronesia (Federated States of),No,No,No,No,No,No,No,No,No,No,–,—
Monaco,No,No,No,No,No,No,No,No,No,No,–,—
Mongolia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8
Montenegro,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,5
Morocco,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,3
Mozambique,Yes,No,No,No,No,No,Yes,No,No,No,Yes,10
Myanmar,Yes,No,Yes,No,No,No,No,No,No,No,Yes,5
Namibia,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,10
Nauru,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,. . .
Nepal,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,6
Netherlands,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8
New Zealand,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,10
Nicaragua,No,No,No,No,No,No,No,No,No,No,–,—
Niger,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10
Nigeria,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,0
Niue,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,—
North Macedonia,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,8
Norway,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10
Oman,No,Yes,No,No,No,No,No,No,No,No,No,8
Pakistan,Yes,Yes,No,No,Yes,Yes,–,No,No,No,Yes,3
Palau,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,10
Panama,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,6
Papua New Guinea,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,. . .
Paraguay,Yes,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,4
Peru,No,No,No,No,No,No,No,No,No,No,–,—
Philippines,No,No,No,No,Yes,No,No,No,No,No,Yes,5
Poland,Yes,Yes,No,No,Yes,No,No,No,No,Yes,Yes,. . .
Portugal,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,7
Qatar,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,10
Republic of Korea,No,Yes,No,No,No,No,No,No,No,No,Yes,. . .
Republic of Moldova,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,7
Romania,No,No,Yes,No,Yes,No,No,No,No,No,Yes,8
Russian Federation,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,5
Rwanda,Yes,No,Yes,No,No,No,No,No,No,No,Yes,8
Saint Kitts and Nevis,No,No,No,No,No,No,No,No,No,No,–,—
Saint Lucia,No,No,No,No,No,No,No,No,No,No,–,—
Saint Vincent and the Grenadines,No,No,No,No,No,No,No,No,No,No,–,—
Samoa,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,8
San Marino,No,No,No,No,No,No,No,No,No,No,–,—
Sao Tome and Principe,No,No,No,No,No,No,No,No,No,No,–,—
Saudi Arabia,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,Yes,7
Senegal,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,5
Serbia,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,4
Seychelles,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,10
Sierra Leone,No,No,No,No,No,No,No,No,No,No,–,—
Singapore,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,10
Slovakia,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,10
Slovenia,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,9
Solomon Islands,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,10
Somalia,No,No,No,No,No,No,No,No,No,No,–,—
South Africa,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,. . .
South Sudan,No,No,No,No,No,No,No,No,No,No,–,—
Spain,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,6
Sri Lanka,Yes,Yes,Yes,No,Yes,Yes,–,No,No,Yes,Yes,8
Sudan,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,7
Suriname,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,8
Sweden,Yes,Yes,No,No,Yes,No,No,No,No,No,Yes,. . .
Switzerland,No,No,No,No,No,No,No,No,No,No,–,—
Syrian Arab Republic,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,10
Tajikistan,Yes,No,No,No,No,No,No,No,No,Yes,Yes,5
Thailand,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,5
Timor-Leste,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,9
Togo,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,10
Tonga,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,10
Trinidad and Tobago,No,No,No,No,Yes,No,No,No,No,Yes,Yes,8
Tunisia,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,8
Turkey,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,5
Turkmenistan,Yes,Yes,Yes,No,Yes,Yes,–,Yes,Yes,Yes,Yes,10
Tuvalu,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,8
Uganda,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,7
Ukraine,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,8
United Arab Emirates,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,9
United Kingdom of Great Britain and Northern Ireland,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,. . .
United Republic of Tanzania,No,Yes,No,No,Yes,No,No,No,No,No,Yes,. . .
United States of America,No,No,No,No,No,No,No,No,No,No,–,—
Uruguay,Yes,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,6
Uzbekistan,Yes,No,No,No,No,No,Yes,No,No,No,No,5
Vanuatu,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,10
Venezuela (Bolivarian Republic of),Yes,Yes,No,No,No,No,No,No,No,No,Yes,10
Viet Nam,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,No,Yes,6
West Bank and Gaza Strip,No,Yes,Yes,Yes,Yes,Yes,–,Yes,Yes,Yes,Yes,7
Yemen,Yes,Yes,Yes,Yes,Yes,Yes,–,No,No,Yes,No,5
Zambia,No,No,No,No,No,No,Yes,No,No,No,No,—
Zimbabwe,No,No,No,No,No,No,Yes,No,No,No,Yes,—
