COUNTRY,TITLE OF SURVEY,YEAR,REPRESENTATIVENESS,AGE GROUP (YEARS),CURRENT TOBACCO USE (M),CURRENT TOBACCO USE (F),CURRENT TOBACCO USE (B),DAILY TOBACCO USE (M),DAILY TOBACCO USE (F),DAILY TOBACCO USE (B),CURRENT TOBACCO SMOKING (M),CURRENT TOBACCO SMOKING (F),CURRENT TOBACCO SMOKING (B),DAILY TOBACCO SMOKING (M),DAILY TOBACCO SMOKING (F),DAILY TOBACCO SMOKING (B),CURRENT CIGARETTE SMOKING (M),CURRENT CIGARETTE SMOKING (F),CURRENT CIGARETTE SMOKING (B),DAILY CIGARETTE SMOKING (M),DAILY CIGARETTE SMOKING (F),DAILY CIGARETTE SMOKING (B)
Brazil,Pesquisa Nacional de Saúde do Escolar (PENSE),2015,National,13-15,6.7,7,6.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.3,5.6,5.4,. . .,. . .,. . .
Brunei Darussalam,Global School-Based Student Health Survey,2014,National,13-17,18.9,5.5,12.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,17.8,4.8,11.4,. . .,. . .,. . .
Bulgaria,Global Youth Tobacco Survey,2015,National,13-15,27.4,30.1,28.8,. . .,. . .,. . .,25.7,29,27.4,. . .,. . .,. . .,17.2,23.7,20.4,10.5,11.5,10.9
Burkina Faso,Global Youth Tobacco Survey (Ouagadougou),2009,Subnational,13-15,22.6,11.5,16.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.9,2,6.5,. . .,. . .,. . .
Burundi,Global Youth Tobacco Survey,2008,National,13-15,20.7,16.8,19.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.8,3.2,4.6,. . .,. . .,. . .
Cabo Verde,Consumption of Psychoactive Substances among Secondary School Students,2012,National,12-18,. . .,. . .,. . .,. . .,. . .,. . .,2.8,0.8,1.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Cambodia,Global Youth Tobacco Survey,2016,National,13-15,2.9,1.9,2.4,. . .,. . .,. . .,1.8,1.2,1.5,. . .,. . .,. . .,0.9,0.3,0.6,. . .,. . .,. . .
Cameroon,Global Youth Tobacco Survey,2014,National,13-15,13.8,5.7,10.1,. . .,. . .,. . .,10.3,4,7.4,. . .,. . .,. . .,8.3,2.5,5.7,. . .,. . .,. . .
Canada,"Canadian Student Tobacco, Alcohol and Drugs Survey (CSTADS)",2016-17,National,Grades 7-9,12.1,7.8,10,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,3.9,2.5,3.2,1.6,1,1.3
Central African Republic,Global Youth Tobacco Survey (Bangui),2008,Subnational,13-15,29.5,34.5,32.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.4,4.3,8.1,. . .,. . .,. . .
Chad,Global Youth Tobacco Survey,2008,National,13-15,20.9,13.9,18.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,8.4,4.3,7.5,. . .,. . .,. . .
Chile,Global School-Based Student Health Survey,2013,National,13-15,19.8,27.8,24.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,19.1,26.4,23.3,. . .,. . .,. . .
China,Global Youth Tobacco Survey,2014,National,13-15,11.2,2.2,6.9,. . .,. . .,. . .,10.6,1.8,6.4,. . .,. . .,. . .,9.9,1.6,5.9,. . .,. . .,. . .
Colombia,Encuesta Nacional de Tabaquismo en Jóvenes,2017,National,13-15,20.6,19.6,20.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.2,8.6,9,0.6,0.4,0.5
Comoros,Global Youth Tobacco Survey,2015,National,13-15,15.9,7.7,11.5,. . .,. . .,. . .,13.2,5.6,9.1,. . .,. . .,. . .,10.5,3.2,6.5,. . .,. . .,. . .
Congo,Global Youth Tobacco Survey,2009,National,13-15,27.6,20.4,24.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.3,5,8.2,. . .,. . .,. . .
Cook Islands,Global Youth Tobacco Survey,2016,National,13-15,29.7,13.9,21.5,. . .,. . .,. . .,28.1,13.9,20.7,. . .,. . .,. . .,23.5,11.9,17.5,. . .,. . .,. . .
Costa Rica,Global Youth Tobacco Survey,2013,National,13-15,9.7,8.1,8.9,. . .,. . .,. . .,9,7.6,8.3,. . .,. . .,. . .,5.7,4.3,5,. . .,. . .,. . .
Côte d'Ivoire,Global Youth Tobacco Survey,2009,National,13-15,26.3,10.9,19.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.9,5.7,13.7,. . .,. . .,. . .
Croatia,Global Youth Tobacco Survey,2016,National,13-15,. . .,. . .,. . .,. . .,. . .,. . .,16.7,15.1,15.9,. . .,. . .,. . .,4.3,2.3,3.3,. . .,. . .,. . .
Cuba,Global Youth Tobacco Survey,2018,National,13-15,13,9.7,11.5,. . .,. . .,. . .,11.8,7.6,9.8,. . .,. . .,. . .,10.2,7.1,8.7,. . .,. . .,. . .
Cyprus,Global Youth Tobacco Survey,2011,National,13-15,28.7,10.8,19.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,20.7,7.5,13.9,. . .,. . .,. . .
Czechia,Global Youth Tobacco Survey,2016,National,13-15,21.3,21.1,21.2,. . .,. . .,. . .,18.4,20,19.2,. . .,. . .,. . .,14,16.6,15.2,. . .,. . .,. . .
Democratic People's Republic of Korea,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Democratic Republic of the Congo,Global Youth Tobacco Survey (Kinshasa),2008,Subnational,13-15,36.2,29.5,33.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.5,3.7,8.1,. . .,. . .,. . .
Denmark,Health Behaviour in School-aged Children,2014,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,18,18,. . .,6,4,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Djibouti,Global Youth Tobacco Survey,2013,National,13-15,17.8,11.1,15.2,. . .,. . .,. . .,13,9,11.6,. . .,. . .,. . .,8,4.2,6.6,. . .,. . .,. . .
Dominica,Global Youth Tobacco Survey,2009,National,13-15,30.4,19.8,25.3,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,13.8,8.9,11.6,. . .,. . .,. . .
Dominican Republic,Global Youth Tobacco Survey,2016,National,13-15,8.3,6,7.4,. . .,. . .,. . .,4.2,4,4.4,. . .,. . .,. . .,2.4,1.8,2.4,. . .,. . .,. . .
Ecuador,Global Youth Tobacco Survey,2016,National,13-15,15.3,10.7,13,. . .,. . .,. . .,13.9,10,11.8,. . .,. . .,. . .,8.9,7,8,. . .,. . .,. . .
Egypt,Global Youth Tobacco Survey,2014,National,13-15,18.1,8.2,13.6,. . .,. . .,. . .,16.3,3.1,10.1,. . .,. . .,. . .,8.3,0.8,4.8,. . .,. . .,. . .
El Salvador,Global Youth Tobacco Survey,2015,National,13-15,15.3,10.7,13.1,. . .,. . .,. . .,14.7,9.4,12.2,. . .,. . .,. . .,11.4,8.2,9.9,. . .,. . .,. . .
Equatorial Guinea,Global Youth Tobacco Survey,2008,National,13-15,25.1,17.3,22.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.9,3.4,7,. . .,. . .,. . .
Eritrea,Global Youth Tobacco Survey,2006,National,13-15,7.8,4.6,6.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,2,0.6,1.6,. . .,. . .,. . .
Estonia,Health Behaviour in School-aged Children,2013-14,National,11-15,22.6,21.8,22.2,5.9,2.9,4.4,. . .,. . .,. . .,. . .,. . .,. . .,8.6,7.3,7.9,3.7,2.5,3.1
Eswatini,Global Youth Tobacco Survey,2009,National,13-15,15.8,8.6,11.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,9.2,4.5,6.4,. . .,. . .,. . .
Ethiopia,Global Youth Tobacco Survey (Addis Ababa),2003,Subnational,15-19,11.5,5.8,8.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,4.4,1,2.9,. . .,. . .,. . .
Fiji,Global Youth Tobacco Survey,2016,National,13-15,11.8,6.5,9.1,. . .,. . .,. . .,9.6,5.5,7.6,. . .,. . .,. . .,6.8,3.4,5.1,. . .,. . .,. . .
Finland,Adolescent Health and Lifestyle Survey,2015,National,14-14,. . .,. . .,. . .,. . .,. . .,. . .,2,3,2.6,2.9,. . .,. . .,. . .,. . .,. . .,2.4,. . .,. . .
France,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,18,20,. . .,11,12,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Gabon,Global Youth Tobacco Survey,2014,National,13-15,9.2,8.8,9.2,. . .,. . .,. . .,7.9,7,7.6,. . .,. . .,. . .,6.1,4,5.2,. . .,. . .,. . .
Gambia,Global Youth Tobacco Survey,2017,National,13-15,17.9,5,10.5,. . .,. . .,. . .,15.9,4.2,9.2,. . .,. . .,. . .,11.7,2.5,6.5,. . .,. . .,. . .
Georgia,Global Youth Tobacco Survey,2017,National,13-15,20.6,9.6,15.4,. . .,. . .,. . .,16.9,7.6,12.6,. . .,. . .,. . .,12.3,4.4,8.4,. . .,. . .,. . .
Germany,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,13,15,. . .,9,10,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Ghana,Global Youth Tobacco Survey,2017,National,13-15,8.8,8.1,8.8,. . .,. . .,. . .,6.8,5.3,6.4,. . .,. . .,. . .,3.2,2.3,2.8,. . .,. . .,. . .
Greece,Global Youth Tobacco Survey,2013,National,13-15,. . .,. . .,. . .,. . .,. . .,. . .,19.3,13.3,16.4,. . .,. . .,. . .,16.9,12.9,15,. . .,. . .,. . .
Grenada,Global Youth Tobacco Survey,2016,National,13-15,12.5,7.1,9.7,. . .,. . .,. . .,11,6.1,8.4,. . .,. . .,. . .,6.7,4.1,5.4,. . .,. . .,. . .
Guatemala,Global Youth Tobacco Survey,2015,National,13-15,19.5,14.4,17.1,. . .,. . .,. . .,18,13.2,15.7,. . .,. . .,. . .,14.7,11.1,12.9,. . .,. . .,. . .
Guinea,Global Youth Tobacco Survey,2008,National,13-15,30.8,20,26.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.6,1.6,7.1,. . .,. . .,. . .
Guinea-Bissau,Global Youth Tobacco Survey (Bissau),2008,Subnational,13-15,11.5,10.3,10.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,7.2,3,5.1,. . .,. . .,. . .
Guyana,Global Youth Tobacco Survey,2015,National,13-15,19,10.4,14.8,. . .,. . .,. . .,16.1,7.5,11.7,. . .,. . .,. . .,13.3,3.8,8.6,. . .,. . .,. . .
Haiti,Global Youth Tobacco Survey,2005,National,13-15,20.3,19.2,19.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,14.1,13.8,14,. . .,. . .,. . .
Honduras,Global Youth Tobacco Survey,2016,National,13-15,9.6,6.4,7.9,. . .,. . .,. . .,7.6,4.8,6.1,. . .,. . .,. . .,6.1,4.4,5.2,. . .,. . .,. . .
Hungary,Global Youth Tobacco Survey,2016,National,13-15,25,25,25,6,7,6.5,. . .,. . .,. . .,. . .,. . .,. . .,16,20,18,4,6,5
Iceland,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,3,3,. . .,2,2,. . .,. . .,. . .,. . .,. . .,. . .,. . .
India,Global Youth Tobacco Survey,2009,National,13-15,19,8.3,14.6,. . .,. . .,. . .,11.2,3.7,8.1,. . .,. . .,. . .,5.8,2.4,4.4,. . .,. . .,. . .
Indonesia,Global School-Based Student Health Survey,2015,National,13-15,23,2.4,12.7,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,21.4,1.5,11.5,. . .,. . .,. . .
Iran (Islamic Republic of),Global Youth Tobacco Survey,2016,National,13-15,12.9,7.7,10.2,. . .,. . .,. . .,11.6,7.1,9.2,. . .,. . .,. . .,4.8,2.1,3.4,. . .,. . .,. . .
Iraq,Global Youth Tobacco Survey,2014,National,13-15,19.4,8.6,14.1,. . .,. . .,. . .,16.2,5.9,11.1,. . .,. . .,. . .,7.8,3.6,5.7,. . .,. . .,. . .
Ireland,Health Behaviour in School-aged Children,2013-14,National,"13, 15 averaged",. . .,. . .,. . .,. . .,. . .,. . .,6,5,6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Israel,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,17,6,. . .,12,4,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Italy,Global Youth Tobacco Survey,2018,National,13-15,17.8,25.1,21.3,. . .,. . .,. . .,17.5,24.3,20.8,. . .,. . .,. . .,16.2,23.6,19.8,. . .,. . .,. . .
Jamaica,Global Youth Tobacco Survey,2017,National,13-15,15.9,15,15.6,. . .,. . .,. . .,14.4,13.9,14.4,. . .,. . .,. . .,11.1,10.9,11.2,. . .,. . .,. . .
Japan,National survey on underage smoking and drinking,2017,National,Junior-High,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,0.7,0.5,0.6,0.2,0.1,0.1
Jordan,Global Youth Tobacco Survey,2014,National,13-15,33.9,13.8,24,. . .,. . .,. . .,32.8,13.4,23.2,. . .,. . .,. . .,17.3,5.4,11.4,. . .,. . .,. . .
Kazakhstan,Health Behaviour in School-aged Children,2017,National,11-15,. . .,. . .,. . .,. . .,. . .,. . .,4.8,3,3.9,2.6,1.8,2.2,4.5,2.4,3.5,. . .,. . .,. . .
Kenya,Global Youth Tobacco Survey,2013,National,13-15,12.8,6.7,9.9,. . .,. . .,. . .,9.6,4,7,. . .,. . .,. . .,7.4,2.6,4.9,. . .,. . .,. . .
Kiribati,Global School-Based Student Health Survey,2011,National,13-15,37.7,22.3,29.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,34.3,19.5,26.1,. . .,. . .,. . .
Kuwait,Global Youth Tobacco Survey,2016,National,13-15,24.2,9.8,16.7,. . .,. . .,. . .,23.2,8.3,15.4,. . .,. . .,. . .,19.4,4.6,11.6,7.7,0.4,3.9
Kyrgyzstan,Global Youth Tobacco Survey,2014,National,13-15,12.3,4.5,8.2,. . .,. . .,. . .,5.5,2,3.7,. . .,. . .,. . .,4,0.9,2.4,. . .,. . .,. . .
Lao People's Democratic Republic,Global Youth Tobacco Survey,2016,National,13-15,16.4,5.9,11.1,. . .,. . .,. . .,12.9,3.3,8.1,. . .,. . .,. . .,10.7,2.1,6.4,. . .,. . .,. . .
Latvia,Global Youth Tobacco Survey,2014,National,13-15,25.3,23.9,24.7,. . .,. . .,. . .,23.7,22.7,23.3,. . .,. . .,. . .,16.9,16.5,16.8,. . .,. . .,. . .
Lebanon,Global School-Based Student Health Survey,2017,National,13-15,35.3,27.9,31.5,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,15.6,7.2,11.2,. . .,. . .,. . .
Lesotho,Global Youth Tobacco Survey,2008,National,13-15,26.4,21.7,24.8,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,11.8,7.5,10.1,. . .,. . .,. . .
Liberia,Global School-Based Student Health Survey,2017,National,13-15,9.3,10.9,10.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Libya,Global Youth Tobacco Survey,2010,National,13-15,11,5,8.1,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,6.1,2,4.3,. . .,. . .,. . .
Lithuania,Global Youth Tobacco Survey,2018,National,13-15,23.6,21.2,22.4,. . .,. . .,. . .,21,20.2,20.6,. . .,. . .,. . .,16.3,17,16.7,. . .,. . .,. . .
Luxembourg,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,13,18,15.5,. . .,. . .,13.9,. . .,. . .,. . .,. . .,. . .,. . .
Madagascar,Global Youth Tobacco Survey,2018,National,13-15,16.7,6.8,11.3,. . .,. . .,. . .,16.5,4.9,10.1,. . .,. . .,. . .,15,4.1,8.9,. . .,. . .,. . .
Malawi,Global Youth Tobacco Survey,2009,National,13-15,16.7,11.4,14.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.8,1,3.5,. . .,. . .,. . .
Malaysia,National Health and Morbidity Survey - Adolescent Health Survey,2017,National,13-17,32.4,9.6,20.9,. . .,. . .,. . .,25.3,6.7,15.9,. . .,. . .,. . .,22.4,5.3,13.8,. . .,. . .,. . .
Maldives,Global School-Based Student Health Survey,2014,National,13-15,15.8,6.8,11.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,12.3,5.4,8.7,. . .,. . .,. . .
Mali,Global Youth Tobacco Survey,2008,National,13-15,23.1,8.8,16.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,17.4,2.5,10.4,. . .,. . .,. . .
Malta,Health Behaviour in School-aged Children,2013-14,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,11,12,. . .,7,6,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Marshall Islands,Global Youth Tobacco Survey,2016,National,13-15,36.5,21.4,28.2,. . .,. . .,. . .,27.7,12.3,19.3,. . .,. . .,. . .,21.5,6.7,13.3,. . .,. . .,. . .
Mauritania,Global Youth Tobacco Survey,2018,National,13-15,19.6,19.2,19.8,. . .,. . .,. . .,16.6,16.2,16.7,. . .,. . .,. . .,13.4,12,13.1,. . .,. . .,. . .
Mauritius,Global School-Based Student Health Survey,2017,National,13-15,22.8,13.7,18,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,19.6,11.5,15.3,. . .,. . .,. . .
Mexico,Global Youth Tobacco Survey,2011,National,13-15,21.6,17.7,19.8,. . .,. . .,. . .,19.8,16.1,18.1,. . .,. . .,. . .,15.8,12.9,14.6,. . .,. . .,. . .
Micronesia (Federated States of),Global Youth Tobacco Survey,2013,National,13-15,52.1,35.7,43.3,. . .,. . .,. . .,43,24.4,33,. . .,. . .,. . .,37.6,18.6,27.2,. . .,. . .,. . .
Monaco,European School Survey Project on Alcohol and Other Drugs (ESPAD),2011,National,15-16,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,29,47,38,. . .,. . .,. . .
Mongolia,Global Youth Tobacco Survey,2014,National,13-15,20.3,8.3,14.3,. . .,. . .,. . .,8.2,2.9,5.6,. . .,. . .,. . .,5.9,1.9,3.9,. . .,. . .,. . .
Montenegro,Global Youth Tobacco Survey,2014,National,13-15,15,4.8,9.7,. . .,. . .,. . .,12.4,4.2,8.4,. . .,. . .,. . .,10.8,2.8,6.9,. . .,. . .,. . .
Morocco,Global Youth Tobacco Survey,2016,National,13-15,7.3,4.4,6,. . .,. . .,. . .,4.4,3.2,4,. . .,. . .,. . .,2.7,0.8,1.9,. . .,. . .,. . .
Mozambique,Global School-Based Student Health Survey,2015,National,13-15,4.5,6.1,5.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,0.9,3.5,2.1,. . .,. . .,. . .
Myanmar,Global Youth Tobacco Survey,2016,National,13-15,26.3,3.7,13.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,17,1.5,8.3,. . .,. . .,. . .
Namibia,Global School-Based Student Health Survey,2013,National,13-15,14,8.9,11.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,10.1,6.3,8.1,. . .,. . .,. . .
Nauru,Global School-Based Student Health Survey,2011,National,13-15,25.6,27,26.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,19.5,24.5,22.1,. . .,. . .,. . .
Nepal,Global School-Based Student Health Survey,2015,National,13-15,9.5,4.8,7.2,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,6.8,3,5,. . .,. . .,. . .
Netherlands,Health Behaviour in School-aged Children,2017,National,12-16,. . .,. . .,. . .,. . .,. . .,. . .,8.6,7,7.8,2.5,1.7,2.1,. . .,. . .,. . .,. . .,. . .,. . .
New Zealand,ASH Year 10 Survey,2018,National,14-15,. . .,. . .,. . .,. . .,. . .,. . .,4.5,5.4,5,1.9,1.9,1.9,. . .,. . .,. . .,. . .,. . .,. . .
Nicaragua,Global Youth Tobacco Survey,2014,National,13-15,20.6,14.5,17.6,. . .,. . .,. . .,16.8,12.3,14.6,. . .,. . .,. . .,13.8,10.3,12.2,. . .,. . .,. . .
Niger,Global Youth Tobacco Survey,2009,National,13-15,11.8,5.6,8.6,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,6.8,0.6,3.5,. . .,. . .,. . .
Nigeria,Global Youth Tobacco Survey (Abuja),2008,Subnational,13-15,19.2,11.1,15.4,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,5.6,1.3,3.5,. . .,. . .,. . .
Niue,Global School-Based Student Health Survey,2010,National,13-15,26.3,. . .,17.9,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,. . .,23.3,. . .,16.1,. . .,. . .,. . .
North Macedonia,Global Youth Tobacco Survey,2016,National,13-15,9.8,12.4,14.6,. . .,. . .,. . .,13.1,8.4,10.9,. . .,. . .,. . .,9,6.1,7.6,. . .,. . .,. . .
Norway,Health Behaviour in School-aged Children,2014,National,15-15,. . .,. . .,. . .,. . .,. . .,. . .,5,3,. . .,2,1,. . .,. . .,. . .,. . .,. . .,. . .,. . .
Oman,Global Youth Tobacco Survey,2016,National,13-15,8.5,3.9,6,. . .,. . .,. . .,5.1,2.5,3.7,. . .,. . .,. . .,2.5,1,1.7,. . .,. . .,. . .
Pakistan,Global Youth Tobacco Survey,2013,National,13-15,13.3,6.6,10.7,. . .,. . .,. . .,9.2,4.1,7.2,. . .,. . .,. . .,4.8,0.9,3.3,. . .,. . .,. . .
Palau,Global Youth Tobacco Survey,2017,National,13-15,47.8,37.4,42.7,. . .,. . .,. . .,42.3,28.8,35.4,. . .,. . .,. . .,38.4,26.8,32.5,. . .,. . .,. . .
