"Country","Year","Ban on advertising: National TV and radio","Ban on advertising: International TV and radio (broadcast from abroad, including satellite)","Ban on advertising: Local magazines and newspapers","Ban on advertising: International magazines and newspapers","Ban on advertising: Billboards and outdoor advertising","Ban on advertising: Point of sale","Ban on advertising: Internet"
"Burundi"," 2010","No","No","No","No","No","No","No"
"Burundi"," 2007","No","No","No","No","No","No","No"
"Cabo Verde"," 2014","Yes","No","No","No","No","No","No"
"Cabo Verde"," 2012","Yes","No","No","No","No","No","No"
"Cabo Verde"," 2010","Yes","No","No","No","No","No","No"
"Cabo Verde"," 2007","Yes","No","No","No","No","No","No"
"Cambodia"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Cambodia"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Cambodia"," 2010","No","No","No","No","No","No","No"
"Cambodia"," 2007","No","No","No","No","No","No","No"
"Cameroon"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Cameroon"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Cameroon"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Cameroon"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Canada"," 2014","Yes","No","Yes","No","Yes","No","Yes"
"Canada"," 2012","Yes","No","Yes","No","Yes","No","Yes"
"Canada"," 2010","Yes","No","Yes","No","Yes","No","Yes"
"Canada"," 2007","Yes","No","No","No","Yes","No","No"
"Central African Republic"," 2014","No","No","No","No","No","No","No"
"Central African Republic"," 2012","No","No","No","No","No","No","No"
"Central African Republic"," 2010","No","No","No","No","No","No","No"
"Central African Republic"," 2007","No","No","No","No","No","No","No"
"Chad"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Chad"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Chad"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","No"
"Chad"," 2007","Yes","No","Yes","No","No","No","No"
"Chile"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Chile"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Chile"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Chile"," 2007","Yes","Yes","Yes","Yes","Yes","No","Yes"
"China"," 2014","Yes","Yes","Yes","Yes","No","No","No"
"China"," 2012","Yes","Yes","Yes","Yes","No","No","No"
"China"," 2010","Yes","Yes","Yes","Yes","No","No","No"
"China"," 2007","Yes","Yes","Yes","Yes","No","No","No"
"Colombia"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Colombia"," 2007","No","No","No","No","No","No","No"
"Comoros"," 2014","Yes","Yes","No","No","Yes","No","No"
"Comoros"," 2012","Yes","Yes","No","No","Yes","No","No"
"Comoros"," 2010","Yes","Yes","Yes","No","Yes","No","No"
"Comoros"," 2007","No","No","No","No","No","No","No"
"Congo"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Congo"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Congo"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Congo"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Cook Islands"," 2014","Yes","No","Yes","No","Yes","No","Yes"
"Cook Islands"," 2012","Yes","No","Yes","No","Yes","No","Yes"
"Cook Islands"," 2010","Yes","No","Yes","No","Yes","No","Yes"
"Cook Islands"," 2007","Yes","No","Yes","No","Yes","No","Yes"
"Costa Rica"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Costa Rica"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Costa Rica"," 2010","No","No","No","No","No","No","No"
"Costa Rica"," 2007","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2014","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2012","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2010","No","No","No","No","No","No","No"
"Côte d'Ivoire"," 2007","No","No","No","No","No","No","No"
"Croatia"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Croatia"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Croatia"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Croatia"," 2007","Yes","No","Yes","No","Yes","No","No"
"Cuba"," 2014","No","No","No","No","No","No","No"
"Cuba"," 2012","No","No","No","No","No","No","No"
"Cuba"," 2010","No","No","No","No","No","No","No"
"Cuba"," 2007","No","No","No","No","No","No","No"
"Cyprus"," 2014","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Cyprus"," 2012","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Cyprus"," 2010","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Cyprus"," 2007","Yes","Yes","Yes","No","Yes","Yes","No"
"Czechia"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Czechia"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Czechia"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Czechia"," 2007","Yes","Yes","Yes","No","Yes","No","Yes"
"Democratic People's Republic of Korea"," 2014","No","No","No","No","No","No","No"
"Democratic People's Republic of Korea"," 2012","No","No","No","No","No","No","No"
"Democratic People's Republic of Korea"," 2010","No","No","No","No","No","No","No"
"Democratic People's Republic of Korea"," 2007","No","No","No","No","No","No","No"
"Democratic Republic of the Congo"," 2014","Yes","Yes","Yes","Yes","No","No","No"
"Democratic Republic of the Congo"," 2012","Yes","Yes","Yes","Yes","No","No","No"
"Democratic Republic of the Congo"," 2010","Yes","Yes","Yes","Yes","No","No","No"
"Democratic Republic of the Congo"," 2007","Yes","Yes","Yes","Yes","No","No","No"
"Denmark"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Denmark"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Denmark"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Denmark"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Djibouti"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Djibouti"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Djibouti"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Djibouti"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Dominica"," 2014","No","No","No","No","No","No","No"
"Dominica"," 2012","No","No","No","No","No","No","No"
"Dominica"," 2010","No","No","No","No","No","No","No"
"Dominica"," 2007","No","No","No","No","No","No","No"
"Dominican Republic"," 2014","No","No","No","No","No","No","No"
"Dominican Republic"," 2012","No","No","No","No","No","No","No"
"Dominican Republic"," 2010","No","No","No","No","No","No","No"
"Dominican Republic"," 2007","No","No","No","No","No","No","No"
"Ecuador"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Ecuador"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Ecuador"," 2010","No","No","No","No","No","No","No"
"Ecuador"," 2007","No","No","No","No","No","No","No"
"Egypt"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Egypt"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"El Salvador"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"El Salvador"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"El Salvador"," 2010","No","No","No","No","No","No","No"
"El Salvador"," 2007","No","No","No","No","No","No","No"
"Equatorial Guinea"," 2014","No","No","No","No","No","No","No"
"Equatorial Guinea"," 2012","No","No","No","No","No","No","No"
"Equatorial Guinea"," 2010","No","No","No","No","No","No","No"
"Equatorial Guinea"," 2007","No","No","No","No","No","No","No"
"Eritrea"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eritrea"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eritrea"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eritrea"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Estonia"," 2014","Yes","Yes","Yes","No","Yes","No","No"
"Estonia"," 2012","Yes","Yes","Yes","No","Yes","No","No"
"Estonia"," 2010","Yes","Yes","Yes","No","Yes","No","No"
"Estonia"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Eswatini"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Eswatini"," 2012","No","No","No","No","No","No","No"
"Eswatini"," 2010","No","No","No","No","No","No","No"
"Eswatini"," 2007","No","No","No","No","No","No","No"
"Ethiopia"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ethiopia"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ethiopia"," 2010","No","No","No","No","No","No","No"
"Ethiopia"," 2007","No","No","No","No","No","No","No"
"Fiji"," 2014","Yes","No","Yes","No","Yes","No","No"
"Fiji"," 2012","Yes","No","Yes","No","Yes","No","No"
"Fiji"," 2010","Yes","No","Yes","No","Yes","No","No"
"Fiji"," 2007","Yes","No","Yes","No","Yes","No","No"
"Finland"," 2014","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Finland"," 2012","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Finland"," 2010","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Finland"," 2007","Yes","Yes","Yes","No","Yes","Yes","Yes"
"France"," 2014","Yes","No","Yes","No","Yes","No","Yes"
"France"," 2012","Yes","No","Yes","No","Yes","No","Yes"
"France"," 2010","Yes","No","Yes","No","Yes","No","Yes"
"France"," 2007","Yes","No","Yes","No","Yes","No","Yes"
"Gabon"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Gabon"," 2012","No","No","No","No","No","No","No"
"Gabon"," 2010","No","No","No","No","No","No","No"
"Gabon"," 2007","No","No","No","No","No","No","No"
"Gambia"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gambia"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gambia"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Gambia"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Georgia"," 2014","Yes","No","No","No","No","No","No"
"Georgia"," 2012","Yes","No","No","No","No","No","No"
"Georgia"," 2010","Yes","No","No","No","No","No","No"
"Georgia"," 2007","Yes","No","No","No","No","No","No"
"Germany"," 2014","Yes","Yes","Yes","Yes","No","No","Yes"
"Germany"," 2012","Yes","Yes","Yes","Yes","No","No","Yes"
"Germany"," 2010","Yes","Yes","Yes","Yes","No","No","Yes"
"Germany"," 2007","Yes","Yes","Yes","Yes","No","No","Yes"
"Ghana"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ghana"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Ghana"," 2010","Yes","Yes","No","No","No","No","No"
"Ghana"," 2007","Yes","Yes","No","No","No","No","No"
"Greece"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Greece"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Greece"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Greece"," 2007","Yes","Yes","Yes","No","No","No","Yes"
"Grenada"," 2014","No","No","No","No","No","No","No"
"Grenada"," 2012","No","No","No","No","No","No","No"
"Grenada"," 2010","No","No","No","No","No","No","No"
"Grenada"," 2007","No","No","No","No","No","No","No"
"Guatemala"," 2014","No","No","No","No","No","No","No"
"Guatemala"," 2012","No","No","No","No","No","No","No"
"Guatemala"," 2010","No","No","No","No","No","No","No"
"Guatemala"," 2007","No","No","No","No","No","No","No"
"Guinea"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Guinea"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Guinea"," 2010","Yes","No","Yes","No","Yes","No","No"
"Guinea"," 2007","Yes","No","Yes","No","Yes","No","No"
"Guinea-Bissau"," 2014","No","No","No","No","No","No","No"
"Guinea-Bissau"," 2012","No","No","No","No","No","No","No"
"Guinea-Bissau"," 2010","No","No","No","No","No","No","No"
"Guinea-Bissau"," 2007","No","No","No","No","No","No","No"
"Guyana"," 2014","No","No","No","No","No","No","No"
"Guyana"," 2012","No","No","No","No","No","No","No"
"Guyana"," 2010","No","No","No","No","No","No","No"
"Guyana"," 2007","No","No","No","No","No","No","No"
"Haiti"," 2014","No","No","No","No","No","No","No"
"Haiti"," 2012","No","No","No","No","No","No","No"
"Haiti"," 2010","No","No","No","No","No","No","No"
"Haiti"," 2007","No","No","No","No","No","No","No"
"Honduras"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Honduras"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Honduras"," 2010","Yes","Yes","Yes","Yes","Yes","No","No"
"Honduras"," 2007","No","No","No","No","No","No","No"
"Hungary"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Hungary"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Hungary"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Hungary"," 2007","Yes","Yes","Yes","No","Yes","No","Yes"
"Iceland"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Iceland"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Iceland"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Iceland"," 2007","Yes","Yes","Yes","No","Yes","No","Yes"
"India"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"India"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"India"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"India"," 2007","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Indonesia"," 2014","No","No","No","No","No","No","No"
"Indonesia"," 2012","No","No","No","No","No","No","No"
"Indonesia"," 2010","No","No","No","No","No","No","No"
"Indonesia"," 2007","No","No","No","No","No","No","No"
"Iran (Islamic Republic of)"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iran (Islamic Republic of)"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Iraq"," 2014","Yes","Yes","Yes","Yes","Yes","No","No"
"Iraq"," 2012","Yes","Yes","Yes","Yes","Yes","No","No"
"Iraq"," 2010","Yes","No","Yes","No","Yes","No","No"
"Iraq"," 2007","Yes","No","Yes","No","Yes","No","No"
"Ireland"," 2014","Yes","Yes","Yes","No","Yes","Yes","No"
"Ireland"," 2012","Yes","Yes","Yes","No","Yes","Yes","No"
"Ireland"," 2010","Yes","Yes","Yes","No","Yes","Yes","No"
"Ireland"," 2007","Yes","Yes","Yes","No","Yes","Yes","No"
"Israel"," 2014","Yes","No","No","No","No","No","No"
"Israel"," 2012","Yes","No","No","No","No","No","No"
"Israel"," 2010","Yes","No","No","No","No","No","No"
"Israel"," 2007","Yes","No","No","No","No","No","No"
"Italy"," 2014","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Italy"," 2012","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Italy"," 2010","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Italy"," 2007","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Jamaica"," 2014","Yes","No","No","No","No","No","No"
"Jamaica"," 2012","Yes","No","No","No","No","No","No"
"Jamaica"," 2010","Yes","No","No","No","No","No","No"
"Jamaica"," 2007","Yes","No","No","No","No","No","No"
"Japan"," 2014","No","No","No","No","No","No","No"
"Japan"," 2012","No","No","No","No","No","No","No"
"Japan"," 2010","No","No","No","No","No","No","No"
"Japan"," 2007","No","No","No","No","No","No","No"
"Jordan"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Jordan"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Jordan"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Jordan"," 2007","Yes","No","Yes","No","Yes","Yes","No"
"Kazakhstan"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kazakhstan"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kazakhstan"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kazakhstan"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kenya"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kiribati"," 2014","Yes","No","Yes","No","Yes","Yes","Yes"
"Kiribati"," 2012","No","No","No","No","No","No","No"
"Kiribati"," 2010","No","No","No","No","No","No","No"
"Kiribati"," 2007","No","No","No","No","No","No","No"
"Kuwait"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kuwait"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kuwait"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kuwait"," 2007","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Kyrgyzstan"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Kyrgyzstan"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Kyrgyzstan"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Kyrgyzstan"," 2007","No","No","No","No","Yes","No","No"
"Lao People's Democratic Republic"," 2014","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Lao People's Democratic Republic"," 2012","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Lao People's Democratic Republic"," 2010","Yes","Yes","Yes","Yes","Yes","No","Yes"
"Lao People's Democratic Republic"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Latvia"," 2014","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Latvia"," 2012","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Latvia"," 2010","Yes","Yes","Yes","No","Yes","Yes","Yes"
"Latvia"," 2007","Yes","Yes","Yes","No","Yes","No","No"
"Lebanon"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lebanon"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Lebanon"," 2010","No","No","No","No","No","No","No"
"Lebanon"," 2007","No","No","No","No","No","No","No"
"Lesotho"," 2014","No","No","No","No","No","No","No"
"Lesotho"," 2012","No","No","No","No","No","No","No"
"Lesotho"," 2010","No","No","No","No","No","No","No"
"Lesotho"," 2007","No","No","No","No","No","No","No"
"Liberia"," 2014","No","No","No","No","No","No","No"
"Liberia"," 2012","No","No","No","No","No","No","No"
"Liberia"," 2010","No","No","No","No","No","No","No"
"Liberia"," 2007","No","No","No","No","No","No","No"
"Libya"," 2014","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Libya"," 2012","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Libya"," 2010","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Libya"," 2007","Yes","Yes","Yes","Yes","Yes","No","No"
"Lithuania"," 2014","Yes","Yes","Yes","No","Yes","No","Yes"
"Lithuania"," 2012","Yes","Yes","Yes","No","Yes","No","Yes"
"Lithuania"," 2010","Yes","Yes","Yes","No","Yes","No","Yes"
"Lithuania"," 2007","Yes","Yes","Yes","No","Yes","No","Yes"
